sales_id,customer_id,product_id,order_date_key,payment_method_id,store_id,location_id,order_status,quantity_sold,discount_applied
S46,CUST1289,PROD185,D122,PM3,STORE16,LOC48,Cancelled,3,23.23
S47,CUST1984,PROD181,D16,PM1,STORE23,LOC13,Completed,3,18.38
S48,CUST1929,PROD160,D71,PM2,STORE19,LOC26,Completed,3,15.09
S49,CUST1828,PROD149,D288,PM2,STORE23,LOC18,Completed,4,27.33
S50,CUST1089,PROD163,D287,PM4,STORE28,LOC43,Cancelled,1,2.97
S51,CUST1346,PROD198,D234,PM1,STORE4,LOC43,Completed,3,25.98
S52,CUST1305,PROD100,D115,PM3,STORE2,LOC13,Cancelled,2,26.15
S53,CUST1907,PROD137,D10,PM1,STORE22,LOC17,Pending,1,28.45
S54,CUST1932,PROD182,D64,PM2,STORE4,LOC25,Cancelled,4,22.62
S55,CUST1733,PROD129,D161,PM2,STORE28,LOC49,Pending,2,0.57
S56,CUST1331,PROD107,D97,PM2,STORE9,LOC30,Returned,4,5.78
S57,CUST1286,PROD105,D344,PM1,STORE14,LOC9,Pending,1,17.66
S58,CUST1539,PROD101,D196,PM2,STORE20,LOC6,Pending,2,22.57
S59,CUST1825,PROD195,D107,PM5,STORE6,LOC32,Returned,2,24.56
S60,CUST1694,PROD119,D35,PM5,STORE27,LOC37,Returned,3,3.02
S61,CUST1458,PROD142,D344,PM2,STORE8,LOC44,Returned,2,26.52
S62,CUST1048,PROD184,D227,PM4,STORE22,LOC44,Pending,1,4.8
S63,CUST1888,PROD171,D166,PM1,STORE25,LOC9,Completed,3,24.73
S64,CUST1001,PROD123,D156,PM3,STORE15,LOC39,Pending,1,16.62
S65,CUST1482,PROD152,D71,PM1,STORE14,LOC31,Returned,3,9.54
S66,CUST1494,PROD118,D137,PM1,STORE5,LOC15,Completed,2,24.49
S67,CUST1367,PROD176,D79,PM2,STORE22,LOC36,Pending,3,6.2
S68,CUST1968,PROD188,D69,PM5,STORE3,LOC30,Pending,1,2.23
S69,CUST1148,PROD145,D63,PM3,STORE24,LOC13,Pending,1,8.72
S70,CUST1186,PROD165,D272,PM1,STORE24,LOC4,Completed,1,28.81
S71,CUST1052,PROD181,D275,PM3,STORE2,LOC21,Returned,4,0.56
S72,CUST1487,PROD178,D153,PM3,STORE30,LOC46,Completed,2,8.14
S73,CUST1581,PROD178,D9,PM4,STORE13,LOC35,Pending,4,12.64
S74,CUST1191,PROD126,D218,PM5,STORE4,LOC3,Pending,4,9.34
S75,CUST1263,PROD193,D189,PM4,STORE10,LOC23,Returned,2,1.64
S76,CUST1360,PROD121,D216,PM5,STORE15,LOC18,Cancelled,2,1.55
S77,CUST1005,PROD189,D163,PM2,STORE18,LOC2,Pending,4,8.23
S78,CUST1483,PROD110,D241,PM2,STORE20,LOC44,Cancelled,1,21.35
S79,CUST1912,PROD130,D235,PM2,STORE2,LOC1,Returned,1,19.89
S80,CUST1597,PROD190,D58,PM3,STORE29,LOC47,Completed,4,19.87
S81,CUST1398,PROD194,D40,PM3,STORE10,LOC50,Returned,3,8.43
S82,CUST1948,PROD167,D167,PM5,STORE2,LOC45,Completed,1,18.81
S83,CUST1533,PROD157,D104,PM1,STORE8,LOC33,Cancelled,3,4.53
S84,CUST1497,PROD177,D218,PM5,STORE9,LOC34,Returned,1,17.38
S85,CUST1532,PROD101,D125,PM4,STORE29,LOC1,Completed,2,3.88
S86,CUST1943,PROD112,D310,PM4,STORE28,LOC40,Pending,4,20.22
S87,CUST1304,PROD120,D268,PM4,STORE7,LOC32,Cancelled,1,12.99
S88,CUST1450,PROD173,D338,PM4,STORE11,LOC10,Returned,3,15.03
S89,CUST1979,PROD119,D67,PM3,STORE3,LOC40,Returned,3,13.68
S90,CUST1803,PROD163,D207,PM4,STORE22,LOC41,Pending,2,19.38
S91,CUST1094,PROD165,D115,PM3,STORE22,LOC40,Pending,4,4.11
S92,CUST1541,PROD165,D329,PM1,STORE7,LOC43,Returned,4,0.31
S93,CUST1520,PROD149,D1,PM3,STORE26,LOC12,Returned,2,22.21
S94,CUST1625,PROD167,D188,PM3,STORE13,LOC15,Pending,3,19.09
S95,CUST1513,PROD153,D284,PM3,STORE2,LOC34,Pending,1,17.71
S96,CUST1363,PROD107,D133,PM5,STORE28,LOC5,Cancelled,1,11.68
S97,CUST1368,PROD174,D45,PM4,STORE26,LOC23,Returned,4,19.82
S98,CUST1179,PROD115,D41,PM1,STORE26,LOC13,Completed,1,8.19
S99,CUST1289,PROD170,D245,PM2,STORE25,LOC5,Returned,1,0.71
S100,CUST1605,PROD188,D343,PM5,STORE5,LOC34,Completed,2,26.58
S101,CUST1828,PROD146,D8,PM1,STORE29,LOC2,Returned,2,27.3
S102,CUST1869,PROD190,D150,PM4,STORE25,LOC8,Completed,3,11.16
S103,CUST1035,PROD141,D98,PM5,STORE12,LOC36,Completed,4,20.34
S104,CUST1101,PROD139,D199,PM2,STORE23,LOC46,Pending,1,6.25
S105,CUST1879,PROD126,D110,PM5,STORE27,LOC28,Completed,1,24.96
S106,CUST1871,PROD146,D332,PM4,STORE7,LOC34,Cancelled,4,22.05
S107,CUST1896,PROD126,D349,PM5,STORE24,LOC9,Cancelled,2,24.7
S108,CUST1411,PROD165,D213,PM2,STORE26,LOC43,Returned,2,21.32
S109,CUST1095,PROD185,D287,PM3,STORE12,LOC25,Cancelled,3,2.47
S110,CUST1741,PROD134,D58,PM5,STORE19,LOC47,Returned,2,16.85
S111,CUST1551,PROD114,D322,PM5,STORE10,LOC1,Cancelled,1,7.96
S112,CUST1241,PROD183,D131,PM5,STORE28,LOC47,Cancelled,2,7.25
S113,CUST1975,PROD172,D232,PM2,STORE6,LOC40,Cancelled,2,19.07
S114,CUST1906,PROD172,D177,PM4,STORE8,LOC12,Cancelled,3,20.61
S115,CUST1830,PROD186,D140,PM2,STORE15,LOC17,Returned,2,5.4
S116,CUST1195,PROD189,D187,PM1,STORE30,LOC6,Returned,2,14.37
S117,CUST1803,PROD153,D294,PM1,STORE15,LOC10,Returned,1,1.81
S118,CUST1628,PROD177,D52,PM4,STORE15,LOC34,Pending,1,17.21
S119,CUST1649,PROD127,D79,PM4,STORE23,LOC11,Returned,3,24.76
S120,CUST1766,PROD191,D311,PM3,STORE27,LOC23,Cancelled,2,23.6
S121,CUST1561,PROD130,D283,PM4,STORE22,LOC7,Completed,1,7.63
S122,CUST1880,PROD105,D123,PM4,STORE29,LOC37,Returned,2,27.33
S123,CUST1277,PROD153,D292,PM4,STORE21,LOC42,Cancelled,2,18.74
S124,CUST1476,PROD183,D39,PM3,STORE7,LOC30,Completed,2,19.31
S125,CUST1607,PROD185,D158,PM1,STORE6,LOC23,Cancelled,2,24.01
S126,CUST1512,PROD186,D190,PM3,STORE21,LOC4,Cancelled,1,4.73
S127,CUST1179,PROD191,D36,PM3,STORE30,LOC12,Cancelled,2,5.34
S128,CUST1395,PROD145,D57,PM1,STORE17,LOC10,Cancelled,2,3.43
S129,CUST1459,PROD177,D165,PM1,STORE19,LOC8,Pending,1,11.9
S130,CUST1439,PROD147,D89,PM1,STORE11,LOC8,Cancelled,4,21.56
S131,CUST1727,PROD175,D3,PM1,STORE16,LOC10,Cancelled,3,20.9
S132,CUST1220,PROD192,D342,PM1,STORE22,LOC24,Pending,4,13.23
S133,CUST1172,PROD139,D183,PM3,STORE11,LOC38,Pending,1,22.2
S134,CUST1860,PROD119,D149,PM5,STORE2,LOC50,Cancelled,4,26.66
S135,CUST1250,PROD114,D192,PM2,STORE28,LOC31,Cancelled,4,25.49
S136,CUST1111,PROD171,D224,PM3,STORE26,LOC20,Pending,3,7.16
S137,CUST1802,PROD199,D210,PM2,STORE1,LOC9,Cancelled,3,16.21
S138,CUST1523,PROD168,D295,PM5,STORE10,LOC19,Returned,1,21.74
S139,CUST1686,PROD186,D81,PM3,STORE27,LOC50,Cancelled,4,29.21
S140,CUST1805,PROD160,D294,PM2,STORE4,LOC11,Cancelled,4,27.98
S141,CUST1099,PROD159,D322,PM3,STORE11,LOC13,Returned,4,2.72
S142,CUST1962,PROD117,D238,PM4,STORE30,LOC25,Pending,4,23.03
S143,CUST1527,PROD136,D357,PM2,STORE29,LOC42,Pending,4,21.0
S144,CUST1870,PROD195,D264,PM1,STORE7,LOC6,Cancelled,4,27.16
S145,CUST1768,PROD122,D211,PM4,STORE2,LOC8,Pending,1,2.0
S146,CUST1826,PROD127,D101,PM3,STORE20,LOC32,Cancelled,1,22.94
S147,CUST1133,PROD179,D16,PM5,STORE28,LOC5,Cancelled,4,5.25
S148,CUST1962,PROD176,D86,PM4,STORE30,LOC4,Pending,1,27.17
S149,CUST1291,PROD172,D298,PM1,STORE20,LOC32,Returned,1,26.42
S150,CUST1438,PROD111,D151,PM1,STORE1,LOC27,Pending,1,5.87
S151,CUST1058,PROD165,D351,PM1,STORE30,LOC48,Completed,4,23.26
S152,CUST1971,PROD195,D122,PM2,STORE16,LOC44,Cancelled,2,14.86
S153,CUST1423,PROD191,D173,PM2,STORE2,LOC4,Pending,3,6.81
S154,CUST1807,PROD138,D82,PM2,STORE25,LOC4,Pending,1,20.31
S155,CUST1748,PROD198,D175,PM2,STORE26,LOC25,Cancelled,1,13.08
S156,CUST1133,PROD164,D157,PM2,STORE30,LOC48,Pending,1,15.63
S157,CUST1583,PROD142,D24,PM4,STORE12,LOC1,Returned,3,22.08
S158,CUST1035,PROD107,D115,PM3,STORE25,LOC28,Cancelled,3,21.28
S159,CUST1158,PROD139,D26,PM2,STORE1,LOC45,Pending,2,6.66
S160,CUST1238,PROD139,D64,PM5,STORE26,LOC28,Returned,2,19.36
S161,CUST1816,PROD127,D170,PM1,STORE29,LOC2,Returned,1,29.62
S162,CUST1861,PROD170,D301,PM3,STORE9,LOC34,Cancelled,2,20.64
S163,CUST1894,PROD119,D255,PM4,STORE10,LOC10,Returned,2,18.79
S164,CUST1570,PROD178,D199,PM1,STORE10,LOC15,Cancelled,3,29.43
S165,CUST1249,PROD190,D204,PM2,STORE22,LOC8,Pending,1,2.83
S166,CUST1453,PROD159,D64,PM5,STORE16,LOC30,Cancelled,2,5.71
S167,CUST1986,PROD179,D118,PM2,STORE18,LOC17,Completed,1,19.39
S168,CUST1084,PROD101,D341,PM5,STORE1,LOC47,Cancelled,3,14.76
S169,CUST1038,PROD189,D341,PM3,STORE9,LOC3,Completed,2,12.66
S170,CUST1704,PROD182,D230,PM5,STORE26,LOC20,Returned,4,29.54
S171,CUST1088,PROD172,D245,PM2,STORE13,LOC29,Returned,3,29.65
S172,CUST1600,PROD156,D103,PM1,STORE16,LOC26,Completed,3,29.84
S173,CUST1534,PROD146,D272,PM4,STORE28,LOC41,Completed,4,29.93
S174,CUST1749,PROD184,D236,PM1,STORE25,LOC15,Pending,2,4.45
S175,CUST1915,PROD174,D166,PM2,STORE9,LOC20,Cancelled,2,21.74
S176,CUST1883,PROD146,D55,PM4,STORE14,LOC16,Returned,2,4.44
S177,CUST1719,PROD118,D35,PM1,STORE25,LOC43,Returned,2,28.59
S178,CUST1926,PROD105,D90,PM1,STORE6,LOC11,Cancelled,1,10.93
S179,CUST1919,PROD171,D239,PM3,STORE2,LOC18,Returned,2,16.2
S180,CUST1800,PROD145,D190,PM2,STORE11,LOC14,Pending,3,2.73
S181,CUST1519,PROD106,D120,PM3,STORE18,LOC41,Cancelled,2,1.8
S182,CUST1813,PROD131,D146,PM2,STORE1,LOC32,Completed,1,24.32
S183,CUST1489,PROD109,D56,PM2,STORE20,LOC47,Returned,3,18.88
S184,CUST1355,PROD172,D344,PM2,STORE20,LOC22,Returned,4,15.56
S185,CUST1400,PROD139,D143,PM5,STORE4,LOC15,Completed,2,3.49
S186,CUST1940,PROD198,D251,PM1,STORE18,LOC29,Returned,1,23.68
S187,CUST1328,PROD158,D62,PM4,STORE22,LOC29,Returned,2,12.58
S188,CUST1790,PROD181,D315,PM2,STORE20,LOC31,Returned,1,6.22
S189,CUST1523,PROD168,D157,PM4,STORE27,LOC43,Cancelled,1,21.97
S190,CUST1179,PROD137,D263,PM5,STORE4,LOC43,Completed,3,18.29
S191,CUST1575,PROD106,D150,PM1,STORE15,LOC44,Pending,3,6.76
S192,CUST1012,PROD153,D323,PM2,STORE5,LOC31,Pending,1,16.07
S193,CUST1784,PROD163,D238,PM1,STORE8,LOC19,Completed,1,26.6
S194,CUST1086,PROD150,D337,PM5,STORE28,LOC32,Cancelled,2,16.57
S195,CUST1571,PROD170,D296,PM1,STORE18,LOC36,Completed,2,7.24
S196,CUST1046,PROD192,D351,PM5,STORE29,LOC16,Completed,4,14.09
S197,CUST1538,PROD118,D323,PM5,STORE26,LOC16,Completed,4,9.3
S198,CUST1702,PROD166,D220,PM3,STORE26,LOC43,Cancelled,3,4.59
S199,CUST1110,PROD143,D191,PM4,STORE28,LOC29,Completed,2,0.95
S200,CUST1731,PROD167,D154,PM2,STORE18,LOC20,Cancelled,3,27.75
S201,CUST1910,PROD132,D300,PM4,STORE10,LOC29,Pending,3,24.22
S202,CUST1700,PROD199,D261,PM3,STORE11,LOC34,Completed,1,26.61
S203,CUST1868,PROD189,D292,PM5,STORE23,LOC19,Returned,1,18.76
S204,CUST1156,PROD194,D146,PM1,STORE3,LOC27,Pending,3,22.3
S205,CUST1669,PROD179,D294,PM3,STORE7,LOC41,Completed,2,19.74
S206,CUST1174,PROD130,D345,PM3,STORE18,LOC25,Completed,1,10.68
S207,CUST1297,PROD190,D323,PM3,STORE20,LOC16,Completed,4,26.51
S208,CUST1789,PROD177,D115,PM3,STORE14,LOC19,Completed,3,9.53
S209,CUST1430,PROD178,D217,PM5,STORE19,LOC25,Cancelled,2,29.92
S210,CUST1956,PROD181,D167,PM4,STORE12,LOC24,Cancelled,2,28.67
S211,CUST1293,PROD143,D41,PM5,STORE22,LOC22,Cancelled,1,4.92
S212,CUST1171,PROD149,D288,PM2,STORE11,LOC4,Returned,4,16.67
S213,CUST1312,PROD120,D55,PM2,STORE8,LOC7,Pending,1,5.41
S214,CUST1419,PROD146,D169,PM1,STORE4,LOC38,Pending,2,1.32
S215,CUST1432,PROD174,D226,PM5,STORE11,LOC32,Pending,2,10.85
S216,CUST1846,PROD102,D140,PM3,STORE21,LOC45,Cancelled,4,22.29
S217,CUST1229,PROD100,D248,PM2,STORE3,LOC22,Cancelled,3,4.65
S218,CUST1325,PROD108,D101,PM1,STORE22,LOC47,Pending,2,12.55
S219,CUST1837,PROD191,D362,PM4,STORE8,LOC32,Pending,1,15.53
S220,CUST1261,PROD101,D64,PM3,STORE10,LOC26,Completed,1,17.39
S221,CUST1699,PROD162,D287,PM5,STORE25,LOC30,Cancelled,1,29.51
S222,CUST1112,PROD197,D230,PM2,STORE16,LOC4,Pending,2,17.49
S223,CUST1938,PROD128,D83,PM2,STORE10,LOC41,Pending,2,2.63
S224,CUST1345,PROD109,D295,PM1,STORE13,LOC18,Returned,3,11.73
S225,CUST1802,PROD130,D193,PM2,STORE22,LOC9,Pending,3,11.97
S226,CUST1678,PROD136,D65,PM1,STORE24,LOC34,Completed,4,17.31
S227,CUST1623,PROD171,D295,PM2,STORE30,LOC37,Pending,3,16.42
S228,CUST1451,PROD155,D251,PM4,STORE5,LOC27,Completed,2,12.88
S229,CUST1271,PROD157,D52,PM3,STORE22,LOC15,Cancelled,2,18.28
S230,CUST1405,PROD133,D310,PM5,STORE16,LOC23,Returned,1,7.03
S231,CUST1111,PROD103,D75,PM3,STORE17,LOC3,Completed,3,25.48
S232,CUST1977,PROD119,D309,PM3,STORE13,LOC18,Completed,2,18.65
S233,CUST1058,PROD188,D303,PM2,STORE27,LOC2,Pending,4,14.84
S234,CUST1300,PROD195,D265,PM5,STORE8,LOC28,Returned,4,15.97
S235,CUST1388,PROD177,D244,PM5,STORE27,LOC21,Pending,1,17.3
S236,CUST1840,PROD158,D146,PM4,STORE6,LOC14,Pending,2,14.32
S237,CUST1650,PROD199,D147,PM1,STORE29,LOC36,Returned,1,27.22
S238,CUST1035,PROD166,D20,PM5,STORE15,LOC41,Pending,4,14.78
S239,CUST1966,PROD100,D187,PM3,STORE5,LOC24,Pending,2,24.09
S240,CUST1566,PROD179,D45,PM4,STORE21,LOC15,Pending,4,4.08
S241,CUST1297,PROD120,D288,PM2,STORE6,LOC33,Cancelled,4,1.17
S242,CUST1940,PROD170,D71,PM3,STORE26,LOC16,Completed,3,8.12
S243,CUST1058,PROD164,D224,PM4,STORE20,LOC23,Completed,1,9.13
S244,CUST1800,PROD114,D337,PM3,STORE3,LOC15,Pending,4,28.04
S245,CUST1843,PROD123,D276,PM2,STORE2,LOC43,Cancelled,2,24.46
S246,CUST1838,PROD115,D321,PM5,STORE18,LOC2,Returned,3,4.02
S247,CUST1544,PROD185,D261,PM3,STORE15,LOC10,Returned,4,26.31
S248,CUST1140,PROD122,D315,PM5,STORE3,LOC22,Returned,1,7.86
S249,CUST1596,PROD128,D138,PM2,STORE13,LOC7,Pending,4,14.34
S250,CUST1073,PROD162,D185,PM4,STORE18,LOC2,Pending,2,1.43
S251,CUST1054,PROD108,D292,PM5,STORE15,LOC1,Completed,4,8.57
S252,CUST1112,PROD136,D67,PM2,STORE11,LOC39,Completed,4,1.17
S253,CUST1682,PROD172,D60,PM3,STORE5,LOC12,Returned,3,22.68
S254,CUST1338,PROD185,D110,PM2,STORE2,LOC14,Returned,1,13.08
S255,CUST1145,PROD124,D321,PM3,STORE15,LOC23,Returned,1,18.22
S256,CUST1839,PROD131,D91,PM5,STORE15,LOC19,Pending,4,25.67
S257,CUST1107,PROD156,D290,PM5,STORE6,LOC49,Returned,3,9.17
S258,CUST1972,PROD124,D19,PM3,STORE5,LOC6,Returned,4,22.96
S259,CUST1744,PROD158,D199,PM1,STORE30,LOC38,Completed,3,24.45
S260,CUST1590,PROD136,D323,PM3,STORE21,LOC36,Cancelled,4,3.41
S261,CUST1910,PROD194,D309,PM5,STORE20,LOC42,Pending,2,10.9
S262,CUST1821,PROD157,D361,PM4,STORE14,LOC25,Returned,4,7.1
S263,CUST1752,PROD187,D268,PM3,STORE29,LOC13,Returned,1,11.92
S264,CUST1778,PROD174,D137,PM5,STORE25,LOC11,Cancelled,2,29.52
S265,CUST1721,PROD140,D211,PM2,STORE26,LOC8,Cancelled,1,16.91
S266,CUST1261,PROD155,D238,PM1,STORE19,LOC13,Completed,2,23.18
S267,CUST1252,PROD122,D62,PM4,STORE24,LOC17,Returned,3,18.76
S268,CUST1342,PROD186,D14,PM3,STORE10,LOC27,Returned,4,24.36
S269,CUST1059,PROD166,D14,PM3,STORE12,LOC40,Returned,2,6.2
S270,CUST1630,PROD150,D152,PM2,STORE23,LOC28,Pending,3,0.63
S271,CUST1969,PROD191,D143,PM2,STORE4,LOC41,Cancelled,3,11.55
S272,CUST1460,PROD109,D269,PM5,STORE17,LOC5,Pending,2,8.74
S273,CUST1860,PROD140,D44,PM3,STORE4,LOC34,Completed,3,21.31
S274,CUST1416,PROD176,D107,PM2,STORE19,LOC41,Returned,3,11.3
S275,CUST1472,PROD197,D43,PM2,STORE2,LOC38,Pending,4,19.09
S276,CUST1965,PROD109,D177,PM5,STORE16,LOC33,Returned,2,24.4
S277,CUST1231,PROD176,D305,PM5,STORE9,LOC13,Pending,1,28.58
S278,CUST1824,PROD170,D79,PM4,STORE22,LOC33,Pending,4,1.37
S279,CUST1758,PROD151,D323,PM2,STORE3,LOC13,Cancelled,4,20.14
S280,CUST1768,PROD138,D75,PM1,STORE18,LOC43,Cancelled,2,16.61
S281,CUST1196,PROD191,D3,PM2,STORE15,LOC32,Returned,1,29.84
S282,CUST1745,PROD176,D246,PM3,STORE13,LOC17,Cancelled,1,9.77
S283,CUST1749,PROD131,D21,PM4,STORE22,LOC42,Pending,1,20.6
S284,CUST1228,PROD152,D114,PM5,STORE13,LOC24,Cancelled,2,2.91
S285,CUST1921,PROD167,D309,PM5,STORE6,LOC2,Pending,4,22.91
S286,CUST1303,PROD104,D207,PM4,STORE28,LOC36,Returned,1,21.17
S287,CUST1424,PROD118,D22,PM1,STORE15,LOC8,Returned,1,8.44
S288,CUST1924,PROD132,D14,PM5,STORE26,LOC21,Completed,3,15.39
S289,CUST1573,PROD142,D253,PM5,STORE4,LOC35,Pending,3,17.12
S290,CUST1810,PROD102,D188,PM1,STORE13,LOC33,Completed,2,24.27
S291,CUST1047,PROD159,D178,PM4,STORE9,LOC9,Returned,2,14.2
S292,CUST1076,PROD127,D244,PM1,STORE24,LOC7,Completed,3,10.45
S293,CUST1441,PROD130,D298,PM3,STORE8,LOC16,Returned,2,20.32
S294,CUST1087,PROD111,D200,PM2,STORE10,LOC39,Cancelled,4,14.32
S295,CUST1575,PROD124,D15,PM2,STORE28,LOC26,Cancelled,4,29.06
S296,CUST1730,PROD133,D193,PM4,STORE3,LOC35,Returned,2,26.15
S297,CUST1861,PROD127,D173,PM1,STORE20,LOC36,Completed,1,12.01
S298,CUST1522,PROD163,D93,PM2,STORE25,LOC13,Returned,4,21.83
S299,CUST1635,PROD194,D120,PM1,STORE15,LOC1,Returned,3,12.77
S300,CUST1177,PROD179,D144,PM4,STORE5,LOC25,Returned,2,0.41
S301,CUST1332,PROD178,D332,PM5,STORE5,LOC9,Returned,4,13.45
S302,CUST1320,PROD169,D245,PM1,STORE11,LOC8,Completed,1,27.12
S303,CUST1961,PROD165,D30,PM1,STORE9,LOC29,Returned,2,24.94
S304,CUST1945,PROD141,D29,PM2,STORE23,LOC40,Cancelled,3,3.26
S305,CUST1945,PROD147,D226,PM5,STORE17,LOC40,Cancelled,4,11.22
S306,CUST1184,PROD164,D29,PM3,STORE16,LOC10,Pending,4,16.38
S307,CUST1421,PROD152,D225,PM5,STORE22,LOC18,Cancelled,3,20.46
S308,CUST1790,PROD137,D86,PM2,STORE30,LOC29,Cancelled,4,13.27
S309,CUST1438,PROD189,D145,PM2,STORE16,LOC43,Cancelled,2,28.23
S310,CUST1213,PROD141,D121,PM3,STORE18,LOC41,Returned,4,26.12
S311,CUST1572,PROD133,D46,PM5,STORE10,LOC28,Pending,3,13.78
S312,CUST1178,PROD118,D181,PM2,STORE26,LOC22,Pending,1,25.89
S313,CUST1395,PROD117,D357,PM5,STORE20,LOC27,Pending,4,3.99
S314,CUST1070,PROD133,D363,PM3,STORE21,LOC12,Pending,4,15.29
S315,CUST1918,PROD160,D90,PM1,STORE25,LOC6,Completed,2,17.54
S316,CUST1501,PROD175,D140,PM3,STORE21,LOC6,Returned,1,14.42
S317,CUST1038,PROD117,D260,PM4,STORE22,LOC6,Cancelled,1,6.58
S318,CUST1255,PROD161,D177,PM5,STORE4,LOC34,Completed,1,2.93
S319,CUST1574,PROD168,D279,PM4,STORE28,LOC39,Pending,1,20.72
S320,CUST1123,PROD187,D54,PM2,STORE8,LOC3,Completed,4,11.05
S321,CUST1582,PROD149,D191,PM4,STORE22,LOC8,Pending,2,19.23
S322,CUST1135,PROD178,D7,PM4,STORE15,LOC22,Completed,1,5.35
S323,CUST1604,PROD100,D172,PM4,STORE11,LOC9,Completed,3,27.26
S324,CUST1408,PROD133,D234,PM5,STORE6,LOC7,Cancelled,4,25.1
S325,CUST1788,PROD188,D38,PM2,STORE18,LOC6,Completed,1,28.53
S326,CUST1189,PROD152,D179,PM5,STORE23,LOC47,Cancelled,4,27.94
S327,CUST1451,PROD102,D287,PM4,STORE12,LOC10,Returned,1,13.36
S328,CUST1333,PROD109,D160,PM4,STORE4,LOC31,Pending,3,26.07
S329,CUST1658,PROD137,D266,PM4,STORE19,LOC11,Cancelled,1,1.15
S330,CUST1053,PROD187,D221,PM3,STORE3,LOC5,Pending,4,27.05
S331,CUST1005,PROD121,D292,PM5,STORE30,LOC43,Returned,2,19.37
S332,CUST1353,PROD189,D63,PM4,STORE12,LOC26,Cancelled,1,19.51
S333,CUST1870,PROD153,D95,PM2,STORE11,LOC37,Pending,2,23.25
S334,CUST1835,PROD115,D364,PM1,STORE1,LOC14,Pending,4,19.95
