PREMISE_ID,LOCATION_ID,CONSTRUCTION_ID,DEVELOPER_ID,COMPETITOR_ID,PROJECT_STATUS_ID,COMPLIANCE_ID,EXISTING_STORE_ID,RENT,RENT_ESCALATION,CAPEX,TARGETED_CUSTOMERS,MANAGEMENT_FEES,TAXES,LEASE_TERM,DECISION_OUTCOME,PREDICTED_ANNUAL_SALES,PREDICTED_DAILY_ORDERS,AVERAGE_TICKET_SIZE,EARLY_TERMINATION_TERMS,PREDICTED_GROSS_PROFITS,PREDICTED_SGA_EXPENSES
35,47,2,8,3,4,3,16,35393.81,0.06,1958125.0,73500,3891.89,8705.18,2,Approved,1721941.22,3604,80.92,None,767647.15,272499.21
36,33,20,21,2,3,5,23,35387.1,0.08,4097993.83,9757,7268.98,9835.03,4,Approved,1902830.52,2894,183.2,None,1720397.35,373337.32
37,25,2,29,9,5,1,23,5401.36,0.09,3976685.39,20796,7729.4,3612.64,8,Rejected,4738676.1,3624,63.01,1 year penalty,687537.87,137376.05
38,19,6,15,6,4,2,11,19274.57,0.02,2066938.01,70726,4761.67,8227.47,6,Approved,1808400.75,3621,196.29,1 year penalty,1203882.94,321460.2
39,38,14,2,6,3,5,11,34916.69,0.02,2190491.63,37604,6242.21,1910.64,3,Rejected,2578687.14,3220,162.14,None,1784744.31,118133.44
40,14,7,22,6,4,3,1,26927.26,0.06,3988708.95,95911,8608.37,3737.83,4,Approved,3140684.28,3598,172.13,6 months notice,390018.88,245556.93
41,44,2,17,3,3,1,18,15681.09,0.06,3912905.92,72654,2078.11,9032.62,6,Pending,913608.81,2006,136.12,1 year penalty,1819417.91,420733.47
42,45,9,3,15,1,4,21,6084.9,0.06,2209924.43,96409,8069.6,10416.86,4,Rejected,106729.42,535,195.61,None,1171418.43,257930.08
43,15,18,21,8,5,4,12,49693.36,0.05,2429153.89,20610,2759.96,13284.66,1,Approved,3899364.86,2508,75.64,None,1902361.84,351857.2
44,10,10,18,6,4,4,17,17850.88,0.04,4522689.97,18933,1772.81,9217.56,4,Rejected,428680.9,1353,65.25,1 year penalty,903316.09,334422.5
45,18,8,14,7,2,2,15,40429.94,0.02,3950614.75,97512,6118.86,9537.93,7,Pending,3408867.29,1264,175.12,6 months notice,582443.37,472117.98
46,31,13,4,9,4,4,20,16023.8,0.02,2939776.79,92861,7104.09,7088.4,4,Approved,3740757.81,3795,175.25,None,632652.23,67903.46
47,30,4,3,3,2,3,2,25120.71,0.02,1725158.41,41558,2700.43,8600.56,1,Rejected,2446543.45,1296,139.19,None,150233.73,60318.95
48,13,6,24,6,5,3,22,27523.38,0.01,4392316.16,3860,8473.73,9454.34,9,Approved,4882939.26,1693,107.23,None,1218343.93,27206.14
49,35,13,29,1,5,3,19,23998.02,0.07,116027.21,12875,3748.16,7014.81,7,Rejected,4304484.9,4474,95.05,1 year penalty,1821663.16,335748.73
50,4,18,23,1,2,3,3,32591.18,0.02,2043428.17,54037,6984.33,4993.99,5,Rejected,4122390.83,270,22.15,1 year penalty,1777088.51,31299.07
51,50,6,1,11,4,3,8,29159.34,0.01,2513921.88,62189,9798.99,13340.58,2,Pending,2026758.56,1812,149.35,6 months notice,820630.17,485534.39
52,47,9,5,8,3,4,8,17351.83,0.03,2496184.13,3750,4382.24,7619.54,6,Pending,886453.64,1878,199.4,None,1720984.95,36907.1
53,6,14,27,2,2,2,5,46575.25,0.02,863773.17,94615,1797.11,8459.99,9,Approved,150337.1,3404,153.36,6 months notice,901023.17,123231.82
54,25,20,12,12,5,4,6,41648.2,0.07,2093921.01,83658,1312.64,4795.87,1,Pending,3700603.68,4704,67.39,1 year penalty,1317247.32,322717.05
55,8,19,7,2,3,5,15,33100.42,0.03,3609334.66,54072,5043.36,2257.87,5,Rejected,3076277.66,1232,90.14,6 months notice,765084.04,210505.19
56,40,3,7,3,4,2,16,40988.29,0.01,2643791.62,58086,2311.37,14832.12,7,Rejected,2380712.18,2090,119.42,None,666002.62,328379.83
57,20,10,7,14,2,1,23,44322.44,0.09,4620078.9,98332,3947.7,1082.06,3,Rejected,1146367.48,316,122.67,6 months notice,1480958.41,204044.55
58,2,7,27,7,4,2,18,19910.51,0.07,1893061.88,65445,5437.51,14080.35,3,Rejected,3563517.77,3286,86.23,6 months notice,1871398.68,68625.72
59,43,8,22,8,2,4,17,47081.25,0.07,4473858.97,2010,1983.04,5235.74,7,Pending,3896955.4,1158,97.36,None,843008.69,273526.58
60,11,11,22,14,2,4,12,27499.77,0.02,2994370.48,53009,1999.41,10741.04,4,Approved,2301697.33,2927,141.23,1 year penalty,1960930.52,481135.56
61,46,4,13,9,2,2,12,13639.16,0.04,4141773.33,54991,6124.74,13128.13,5,Pending,2307948.33,1815,54.78,6 months notice,1006161.9,41822.44
62,12,14,23,3,2,5,13,19033.18,0.08,3772690.68,62234,9406.66,7563.34,5,Rejected,3904693.75,536,193.01,1 year penalty,886193.05,427985.96
63,40,14,30,15,3,2,1,40701.59,0.1,4214882.67,43662,5091.7,8146.54,5,Approved,1760767.39,3234,61.57,1 year penalty,1444560.05,428106.05
64,26,18,5,15,1,2,2,17539.94,0.05,3794859.1,27490,5667.56,14796.14,3,Rejected,881405.02,2955,159.73,1 year penalty,1966322.34,457238.02
65,11,13,23,6,2,4,9,16071.82,0.04,1412249.36,33030,2108.91,13526.79,1,Approved,678347.44,2304,103.0,1 year penalty,1875369.02,466422.03
66,16,10,23,2,1,3,22,29572.83,0.1,1543532.01,19297,6800.52,13773.59,6,Approved,2160651.14,2173,77.96,None,771876.21,269036.64
67,7,5,20,15,3,1,5,35044.9,0.07,2018324.82,34694,9383.42,12943.96,9,Pending,4908455.25,451,128.21,None,1941479.77,477135.01
68,48,17,24,5,2,3,2,30514.73,0.07,4153793.63,25189,2558.86,13947.17,5,Pending,769738.7,1784,98.31,1 year penalty,990709.21,329295.5
69,32,18,19,9,5,1,2,28520.26,0.07,3019917.26,30259,3362.18,9549.52,4,Pending,2834735.77,3309,122.09,1 year penalty,932450.69,441549.02
70,5,16,11,14,3,3,24,8281.68,0.09,732738.29,6746,6007.76,2002.98,9,Pending,2415254.57,3477,33.6,1 year penalty,642661.85,200734.18
71,10,2,4,15,2,1,10,27234.83,0.04,3603469.12,30604,5350.9,9778.17,8,Approved,4176695.3,267,61.97,6 months notice,1110233.82,336155.54
72,12,4,10,11,1,3,6,40543.23,0.08,4254361.01,78414,9385.44,9917.36,5,Rejected,246392.66,3685,181.72,6 months notice,128776.75,104639.26
73,50,17,20,3,1,2,11,38855.7,0.09,4429948.73,17490,2115.56,11726.18,6,Approved,526756.21,2561,28.31,None,460252.49,292598.15
74,1,12,16,2,3,4,16,23425.83,0.08,3234608.45,79239,2528.97,4229.31,3,Rejected,3339818.3,4658,93.63,1 year penalty,1274205.59,20894.68
75,4,10,27,14,5,5,23,32921.7,0.03,427711.57,59900,2169.93,2712.7,6,Rejected,3167042.86,4376,128.2,None,377678.44,453167.45
76,22,2,30,4,4,1,21,15533.17,0.09,3742693.21,74156,6904.78,3687.78,2,Pending,1435148.69,3475,94.65,None,325796.29,291164.61
77,26,20,11,3,1,4,21,9946.18,0.05,4803952.94,54198,4583.43,9813.61,3,Approved,1878625.5,854,54.78,None,760555.88,141812.25
78,47,6,20,11,4,1,3,27752.95,0.07,1346152.36,88958,2871.55,4512.57,1,Approved,1381084.5,794,89.01,6 months notice,848423.55,249710.54
79,12,20,7,4,4,2,24,38001.52,0.09,3346974.51,68309,3267.33,12594.47,1,Rejected,1303084.41,4564,29.07,None,1632882.51,236533.52
80,10,17,7,8,3,1,21,43486.64,0.03,4423847.35,82108,3098.98,5802.92,6,Pending,4335627.61,2614,76.88,1 year penalty,1370183.42,66026.82
81,40,11,21,15,5,5,25,39878.89,0.02,140707.49,43686,6213.46,7145.56,2,Rejected,2244219.41,3335,89.62,1 year penalty,1795560.84,303373.16
82,15,14,24,14,1,1,22,44617.1,0.06,918307.85,42695,7688.35,2475.93,3,Rejected,327032.39,2570,148.68,1 year penalty,1015614.71,452703.26
83,35,14,14,13,4,1,18,33612.11,0.04,3905757.98,1702,2832.38,7403.8,2,Pending,4761302.03,3530,164.56,None,1010110.09,211694.48
84,37,18,27,12,4,4,25,26648.67,0.07,3441311.58,10199,2931.5,7472.93,1,Approved,417940.18,3089,131.09,6 months notice,1270791.23,350003.69
85,35,16,18,11,3,2,5,17015.55,0.02,1151589.62,12806,8848.1,1247.89,5,Approved,2445361.49,4507,99.18,1 year penalty,1142535.79,444459.33
86,18,19,13,15,1,1,19,40969.39,0.09,2741040.17,2143,3176.23,11159.73,4,Pending,3596565.48,1773,35.88,6 months notice,150228.32,180985.4
87,26,20,8,1,2,4,25,31585.56,0.1,3087142.25,47868,2248.77,1706.8,9,Rejected,559289.72,2702,71.94,None,1215129.08,483482.91
88,10,8,15,8,2,5,12,46781.31,0.04,1239982.6,55166,4834.45,6688.21,7,Pending,306915.74,3803,52.19,1 year penalty,1950636.77,126474.48
89,21,12,26,5,5,1,1,6405.85,0.01,2042780.23,67219,5344.8,7144.06,8,Rejected,1984189.7,4791,178.46,6 months notice,517415.77,188888.08
90,8,13,22,15,5,2,12,12888.3,0.03,1811108.78,57394,4212.47,6128.81,2,Rejected,1000405.13,3064,195.39,1 year penalty,1999128.69,49354.26
91,2,3,20,11,1,1,7,23722.4,0.02,4136769.81,90075,9350.17,6556.73,2,Rejected,2696246.52,3971,94.89,None,1201253.91,134920.98
92,3,12,6,5,4,3,7,31918.62,0.04,3012311.18,28901,6606.54,13437.55,3,Pending,1962569.64,1077,53.65,None,83730.1,379468.55
93,21,6,15,5,1,4,18,45602.45,0.01,2579158.09,41559,8284.08,12270.52,2,Rejected,681014.39,3116,36.95,None,1297314.13,270321.8
94,16,3,3,15,4,3,18,16026.22,0.02,4942485.48,78449,3584.92,11468.58,1,Pending,245918.64,2391,107.93,6 months notice,51079.59,424365.29
95,10,17,22,1,5,5,3,6546.93,0.05,955326.94,14089,8708.33,9354.27,3,Approved,1294256.35,2772,44.32,1 year penalty,871426.86,150125.15
96,16,10,28,5,3,1,6,10812.97,0.02,887179.96,31325,4176.53,14625.09,6,Approved,2319734.36,3089,24.98,None,1967548.18,424188.5
97,3,8,15,10,1,3,25,29765.87,0.07,2202023.41,31271,6543.66,6981.85,3,Approved,2721959.18,1357,186.99,6 months notice,1255885.33,123720.55
98,47,10,21,10,2,2,8,30893.73,0.02,1075452.57,30098,7254.5,3343.74,5,Approved,2606931.15,2566,98.84,6 months notice,1312820.04,155568.72
99,38,17,19,13,4,5,10,32767.09,0.05,4419298.0,38406,7066.97,12446.75,6,Approved,2657540.0,3883,145.22,6 months notice,563115.32,254672.5
100,28,14,7,8,5,5,21,22823.26,0.02,2655469.16,59943,5582.03,7836.57,4,Pending,2038689.69,2002,171.86,None,420688.45,366521.58
101,6,17,28,1,4,5,1,33224.98,0.07,253036.77,54289,3070.06,11586.62,2,Rejected,2578097.6,1368,73.3,1 year penalty,1544730.17,489741.07
102,15,2,28,4,2,1,15,22632.41,0.05,3446207.36,11909,2965.63,3347.78,3,Approved,4026620.15,1861,98.98,None,88337.28,385222.14
103,15,18,25,3,1,3,4,30972.87,0.08,4016623.29,97817,3793.77,14927.97,2,Approved,425596.24,1123,31.75,1 year penalty,1496643.16,352460.31
104,44,2,13,15,4,2,3,7327.08,0.01,1380369.47,37947,5260.52,9743.15,8,Rejected,2474716.22,4697,181.71,None,741274.08,109697.19
105,20,1,24,5,2,4,18,38509.29,0.08,2629607.02,83883,9242.55,4767.56,5,Approved,2803347.9,1838,43.25,1 year penalty,1961759.37,30952.32
106,23,16,3,10,2,5,25,41329.86,0.05,4825380.39,39415,7186.74,13214.29,3,Rejected,1335299.99,4095,29.6,None,954890.38,42487.82
107,38,10,5,14,1,1,4,49476.87,0.08,1015163.24,60141,1542.01,6879.87,8,Rejected,283102.41,75,119.29,None,529797.89,289600.93
108,49,15,25,2,2,1,5,12507.58,0.08,1349424.07,44943,2095.32,3413.61,2,Rejected,4941425.01,1108,148.09,None,398898.43,149801.07
109,1,17,30,1,5,4,6,34267.39,0.05,4667572.75,87471,2287.81,9152.7,3,Pending,2860067.45,4273,52.2,6 months notice,1769429.67,496341.61
110,31,5,21,11,3,1,5,10737.44,0.03,4849000.77,86035,5841.34,14574.01,6,Pending,4829679.06,2041,95.69,None,978625.07,313451.74
111,10,12,24,10,5,2,5,43636.47,0.09,1952728.6,77608,2044.13,10535.54,3,Pending,3003946.75,174,144.39,6 months notice,1476566.39,236378.67
112,34,20,7,5,4,5,14,21047.25,0.06,2685142.58,17313,8078.33,11212.46,7,Approved,807885.74,1607,115.79,6 months notice,1735587.35,361035.53
113,43,8,4,15,3,1,4,44336.87,0.03,2744363.1,70102,5001.22,14258.36,1,Rejected,3773488.77,72,156.05,6 months notice,1332371.86,265233.27
114,17,9,3,1,4,3,2,47787.25,0.06,3104545.52,28021,2591.12,1482.93,2,Rejected,728350.16,3821,78.25,6 months notice,197682.85,413501.7
115,50,20,15,15,1,5,23,21102.15,0.07,2650743.17,10387,7942.89,14008.52,4,Approved,4871502.86,3328,74.91,6 months notice,1571510.43,75291.58
116,26,10,3,4,4,2,9,24368.47,0.03,2763784.88,67230,5314.02,13241.51,9,Pending,1495590.23,3400,167.58,6 months notice,871630.17,230972.66
117,32,20,7,5,4,5,24,13336.46,0.06,421309.23,53332,2927.95,2418.54,6,Rejected,1565035.25,4850,108.84,None,1277312.02,321273.33
118,45,9,23,8,4,1,15,12393.53,0.08,1990924.73,11507,2116.4,14578.85,5,Pending,4171000.66,1733,52.46,1 year penalty,514136.21,461937.16
119,38,3,3,15,2,2,2,6009.85,0.04,1477967.51,49362,9790.21,1066.06,2,Pending,4815055.88,2379,33.73,1 year penalty,139132.01,20004.4
120,3,15,19,7,4,1,5,45611.99,0.02,3727627.73,31233,8275.12,9629.03,1,Approved,4422611.82,4256,182.19,None,1238689.61,499302.01
121,17,13,9,11,3,5,4,5152.88,0.04,4567940.74,54177,2417.61,2581.55,9,Approved,4973598.56,179,163.16,None,922763.69,69642.92
122,31,10,3,5,4,1,6,31959.82,0.08,2389505.19,56384,1965.75,7345.16,8,Rejected,1416949.5,2868,26.3,1 year penalty,1115190.54,401768.36
123,39,4,13,6,3,2,12,48275.96,0.09,988855.21,60129,4209.56,4169.74,7,Approved,3284402.71,677,177.13,6 months notice,1882008.46,329178.52
124,1,6,2,6,3,2,3,14914.42,0.06,1420938.22,83700,2841.87,3571.98,9,Pending,3317332.85,1093,179.24,6 months notice,896002.63,439610.99
125,11,9,8,1,4,1,3,16240.12,0.03,812456.75,83312,8624.22,14154.27,1,Rejected,2159163.69,2973,166.12,1 year penalty,1315096.84,402750.72
126,3,9,9,12,2,4,17,40998.86,0.04,3659045.26,91976,5396.01,14038.39,1,Rejected,2159125.78,1595,149.85,None,1329079.19,468995.65
127,47,3,25,11,2,3,12,43293.9,0.03,646646.64,13128,9030.66,8202.35,7,Rejected,2043413.94,590,128.19,1 year penalty,1145106.88,290051.75
128,14,8,21,11,3,5,15,25472.09,0.01,1315714.33,42540,7431.91,3036.63,7,Approved,2581119.96,4849,89.97,6 months notice,1012516.55,287194.52
129,28,10,5,3,2,2,19,21846.84,0.03,3177696.02,82638,8864.24,9184.57,8,Approved,3305980.76,328,108.24,1 year penalty,746093.87,301540.25
130,12,4,11,2,4,2,12,23795.91,0.06,2263083.34,62163,8549.11,13544.18,6,Approved,1813447.94,4716,188.3,6 months notice,1531111.83,209911.59
131,25,13,27,15,5,1,18,38840.66,0.1,3113620.15,27164,9675.91,11839.88,2,Pending,2563134.3,2383,147.66,None,1158205.02,22765.46
132,17,19,7,8,5,3,19,20572.28,0.08,4654336.75,39596,3084.1,6976.22,4,Rejected,3294901.49,2805,171.99,None,1400488.34,54974.72
133,43,4,26,4,1,3,12,46555.31,0.09,3543496.11,96650,5967.8,1464.72,9,Approved,1797789.97,4681,61.2,1 year penalty,237540.83,490445.71
134,22,3,19,14,5,1,17,18450.83,0.05,434626.68,42422,5562.44,3126.96,1,Approved,2742043.71,644,157.23,1 year penalty,217030.71,319317.8
135,28,6,9,10,1,3,14,20620.21,0.05,2681188.4,47092,2198.55,7176.19,3,Pending,1725677.12,374,116.22,None,1207104.52,221115.5
136,24,2,5,8,1,1,3,18177.94,0.03,3010708.36,25622,2286.35,14529.07,3,Pending,3996487.49,3518,37.34,1 year penalty,501226.38,107834.23
137,18,6,15,7,5,3,17,34589.28,0.01,245262.01,50223,8070.2,7828.9,4,Rejected,4453978.85,63,37.37,6 months notice,1170845.12,469419.69
138,39,12,26,5,3,4,4,13430.25,0.03,374390.12,42361,4467.96,14629.68,3,Approved,1930440.71,245,39.9,None,77226.67,488413.81
139,25,8,2,4,5,5,24,18522.83,0.08,388495.02,46938,1801.78,5923.72,3,Pending,4108238.64,885,51.27,6 months notice,864603.23,18696.46
140,17,12,28,1,5,3,1,48408.54,0.03,3225851.07,85341,5472.15,5531.41,5,Approved,2932489.9,1329,97.65,1 year penalty,585940.19,29714.24
141,11,11,2,4,4,5,7,49016.74,0.07,3271585.01,79591,7974.86,11352.91,3,Pending,3076428.89,1908,158.49,6 months notice,1580173.19,136726.17
142,33,14,20,2,1,1,21,44836.92,0.04,3422370.97,90993,1845.06,1988.19,4,Rejected,787251.67,2264,177.77,None,1780091.58,388252.19
143,37,6,17,13,5,3,25,20194.92,0.09,1874823.42,54255,9541.04,3848.22,8,Approved,4488694.63,4783,183.35,None,1195049.47,215733.04
144,24,3,2,8,5,4,16,44080.34,0.07,770327.03,96962,9193.62,11194.3,1,Pending,4807002.85,1610,35.69,None,509866.37,173386.24
145,40,8,3,7,1,5,7,33670.73,0.06,2693683.69,26171,8429.55,2725.36,7,Pending,3475534.22,4280,144.78,1 year penalty,1113037.17,21678.57
146,18,17,30,3,4,3,5,29119.99,0.09,254689.86,38687,8507.9,2770.75,1,Approved,3176684.59,409,73.67,1 year penalty,1333391.85,478081.57
147,4,13,13,6,5,1,23,23825.06,0.02,2720691.03,75387,1941.54,3972.5,4,Rejected,4301884.88,3423,112.25,None,1537281.05,459844.02
148,6,6,12,15,1,2,15,7606.14,0.1,2438685.03,75713,9858.9,2106.17,8,Rejected,4183982.18,586,133.86,1 year penalty,789593.65,81117.35
149,43,6,14,1,2,4,13,9157.63,0.09,1962192.37,86748,3368.43,11674.09,2,Rejected,2040463.38,4045,103.76,1 year penalty,856905.17,436142.65
150,23,7,4,12,4,4,8,36663.38,0.08,1920640.27,58021,3813.61,8571.6,8,Rejected,4077721.77,801,71.52,6 months notice,712694.41,333246.92
151,36,6,6,3,1,1,25,29551.95,0.04,2714703.12,86987,1020.76,12249.06,1,Pending,248977.32,2102,38.69,6 months notice,186207.16,96620.16
152,27,9,30,10,4,4,18,45021.97,0.09,384265.03,2385,8070.8,3706.5,8,Approved,1703426.15,4460,88.56,None,524620.04,455100.79
153,23,3,1,14,2,4,4,23319.92,0.02,2133442.56,81472,9871.41,10107.58,6,Approved,4969272.47,2166,185.77,1 year penalty,1553232.64,33748.53
154,25,12,17,9,2,3,15,28659.35,0.02,1853838.23,32723,1812.51,11007.26,7,Pending,998207.4,2515,38.52,1 year penalty,806848.77,372715.39
155,21,11,6,8,4,5,4,28516.46,0.05,1610058.5,21724,9265.35,5203.38,6,Rejected,1003440.45,771,74.84,None,1689364.75,144631.63
156,19,5,17,5,4,5,24,13880.38,0.01,4643929.4,57564,4294.41,3305.05,6,Approved,3406639.92,4182,127.83,6 months notice,144136.11,431439.96
157,28,5,12,5,3,3,4,49929.81,0.02,136495.65,58535,2181.67,14258.23,3,Rejected,1932935.11,3885,109.66,None,1793210.81,127995.69
158,15,2,8,10,2,1,18,14615.28,0.01,1764925.06,64805,4876.31,4109.67,8,Approved,177414.95,1047,78.8,6 months notice,1700171.07,133410.9
159,33,5,27,15,4,5,20,31117.86,0.02,2986393.49,42872,7530.23,2431.88,7,Pending,3507461.83,1070,187.23,None,361198.44,451043.84
160,16,7,12,12,1,1,13,37451.38,0.05,4640403.65,36623,8104.1,12186.28,7,Pending,4784844.43,901,143.75,1 year penalty,1108458.67,383451.64
161,45,3,4,7,4,5,24,41503.8,0.07,558391.48,32882,1795.44,12489.78,9,Rejected,1854808.94,4942,41.41,1 year penalty,1523199.69,362462.23
162,44,3,16,6,5,3,17,9813.87,0.09,3531336.89,18543,9644.11,4527.84,3,Pending,1198903.61,1641,57.0,None,405982.07,91686.75
163,19,10,16,6,4,2,5,40015.24,0.06,4406695.56,92749,1697.33,13827.2,8,Pending,3388478.19,3970,62.39,1 year penalty,1255448.7,339925.34
164,48,5,17,5,4,3,17,38117.02,0.01,876338.85,8468,4631.44,12951.08,7,Rejected,1244621.67,76,183.83,6 months notice,1168368.74,341138.84
165,24,7,12,15,5,4,23,32807.27,0.09,3398802.06,24360,9148.5,7744.45,9,Approved,2060615.57,2843,178.68,1 year penalty,1197548.17,402701.3
166,33,6,21,10,4,3,22,9475.12,0.05,1148839.45,54884,5108.01,6904.63,4,Approved,1304441.39,1839,139.57,None,1630747.72,448767.52
167,50,17,26,6,4,4,12,31076.16,0.06,827851.96,29814,9381.11,1744.98,7,Pending,3314489.6,4319,176.79,6 months notice,1276105.71,375494.77
168,36,12,3,12,3,4,1,31800.84,0.01,4696034.56,3983,6509.74,7184.96,8,Approved,1739535.95,4186,183.38,6 months notice,1654387.59,258037.47
169,34,8,14,8,3,1,5,48850.55,0.07,594736.37,46830,4343.2,9000.21,8,Approved,4875882.04,3509,147.71,None,115203.56,169250.52
170,23,3,28,10,5,1,12,6818.79,0.1,4172371.19,60882,9889.74,1073.56,5,Rejected,1394705.0,3746,113.96,6 months notice,455275.09,257287.33
171,23,18,14,12,5,5,12,41504.51,0.08,264361.68,83997,6100.15,6720.9,5,Approved,1540137.19,4517,116.5,None,1641225.18,193709.87
172,49,6,18,14,5,3,4,35411.04,0.08,3414815.82,76759,8074.12,9474.67,4,Approved,1871291.54,931,59.06,None,149267.93,279234.96
