transaction_id,product_id,warehouse_id,supplier_id,date_id,transaction_type,quantity
189,16,6,23,342,ADJUSTMENT,449
190,51,15,12,258,ADJUSTMENT,230
191,67,19,27,123,OUT,24
192,2,12,1,145,IN,91
193,28,10,27,324,OUT,30
194,46,12,13,354,ADJUSTMENT,189
195,70,15,23,258,IN,80
196,56,18,20,309,IN,306
197,48,5,7,304,OUT,166
198,62,15,13,351,ADJUSTMENT,217
199,84,9,20,96,OUT,364
200,62,4,28,211,ADJUSTMENT,237
201,94,17,22,245,ADJUSTMENT,11
202,96,21,5,283,OUT,68
203,70,20,3,209,IN,101
204,63,22,15,76,IN,246
205,48,11,1,34,OUT,64
206,62,10,5,126,ADJUSTMENT,96
207,53,7,17,293,OUT,47
208,37,10,30,352,IN,281
209,25,8,4,36,OUT,251
210,9,3,19,80,ADJUSTMENT,268
211,75,4,3,74,ADJUSTMENT,60
212,22,17,11,248,IN,450
213,97,2,4,46,OUT,294
214,47,10,9,80,OUT,135
215,94,14,16,91,ADJUSTMENT,138
216,88,23,3,298,ADJUSTMENT,112
217,80,6,27,358,IN,406
218,75,8,7,228,IN,441
219,71,18,12,214,IN,198
220,9,17,23,329,ADJUSTMENT,226
221,17,3,27,8,OUT,477
222,49,13,7,39,ADJUSTMENT,57
223,76,21,19,332,ADJUSTMENT,65
224,90,19,20,76,IN,150
225,73,2,11,305,IN,207
226,4,3,26,339,IN,200
227,41,6,9,333,ADJUSTMENT,298
228,63,17,15,300,OUT,412
229,15,15,3,347,OUT,75
230,24,21,6,154,OUT,185
231,69,15,25,283,OUT,415
232,27,21,10,202,ADJUSTMENT,243
233,78,6,19,254,IN,128
234,29,8,10,285,IN,432
235,11,13,9,285,OUT,232
236,37,3,28,60,ADJUSTMENT,373
237,94,2,14,154,OUT,351
238,81,1,9,128,OUT,458
239,82,16,5,287,ADJUSTMENT,226
240,33,5,28,48,OUT,75
241,98,12,15,208,IN,11
242,25,10,19,268,ADJUSTMENT,154
243,43,25,15,96,OUT,50
244,2,13,16,190,IN,217
245,88,6,29,249,ADJUSTMENT,8
246,45,25,18,318,OUT,29
247,6,16,18,217,OUT,361
248,39,25,14,74,IN,248
249,100,4,21,314,ADJUSTMENT,448
250,67,15,27,305,OUT,64
251,71,12,19,328,IN,391
252,86,6,13,103,IN,120
253,94,25,23,338,OUT,67
254,76,24,1,305,OUT,162
255,45,25,22,199,ADJUSTMENT,255
256,33,23,5,330,IN,8
257,73,13,28,152,IN,51
258,27,4,4,84,ADJUSTMENT,35
259,70,13,13,106,OUT,115
260,21,1,25,233,ADJUSTMENT,285
261,62,2,30,350,ADJUSTMENT,401
262,41,21,28,55,ADJUSTMENT,103
263,16,22,27,271,ADJUSTMENT,113
264,20,19,15,274,ADJUSTMENT,344
265,3,11,8,315,IN,209
266,16,16,12,305,OUT,193
267,76,2,19,359,IN,37
268,82,25,12,143,ADJUSTMENT,194
269,89,2,13,61,IN,255
270,18,8,12,26,OUT,385
271,88,20,28,194,OUT,133
272,20,10,6,149,ADJUSTMENT,275
273,30,14,9,169,OUT,168
274,90,3,21,156,OUT,436
275,16,22,25,349,ADJUSTMENT,132
276,24,9,18,227,IN,309
277,1,3,21,147,IN,477
278,39,17,12,340,ADJUSTMENT,87
279,40,17,18,202,IN,78
280,74,15,6,85,ADJUSTMENT,368
281,35,22,3,199,ADJUSTMENT,466
282,63,2,13,95,ADJUSTMENT,260
283,37,22,29,365,IN,400
284,13,14,6,346,IN,58
285,69,20,12,293,OUT,16
286,48,23,7,23,ADJUSTMENT,483
287,89,13,21,194,ADJUSTMENT,267
288,52,18,22,190,ADJUSTMENT,208
289,100,22,4,56,IN,225
290,64,14,12,53,OUT,113
291,8,15,22,111,IN,359
292,14,15,29,100,ADJUSTMENT,295
293,59,8,29,271,ADJUSTMENT,351
294,4,15,7,98,IN,30
295,13,16,11,118,OUT,69
296,2,20,30,75,IN,185
297,79,12,12,29,ADJUSTMENT,266
298,81,7,9,255,ADJUSTMENT,434
299,27,16,19,43,ADJUSTMENT,457
300,39,22,19,313,IN,488
301,17,14,1,249,IN,144
302,65,12,29,291,OUT,468
303,70,23,13,174,IN,461
304,22,24,12,167,ADJUSTMENT,319
305,3,14,21,80,IN,468
306,20,19,25,51,OUT,186
307,19,15,27,173,OUT,80
308,17,16,22,37,OUT,210
309,4,18,3,216,OUT,292
310,36,4,10,247,OUT,296
311,8,2,23,265,ADJUSTMENT,485
312,67,24,14,50,ADJUSTMENT,71
313,84,14,29,49,ADJUSTMENT,48
314,29,5,9,10,OUT,259
315,7,1,29,220,IN,409
316,80,3,13,13,IN,150
317,75,12,23,24,IN,493
318,42,18,12,66,IN,450
319,7,25,18,264,IN,75
320,9,17,13,114,IN,337
321,26,23,26,131,ADJUSTMENT,417
322,97,17,1,170,ADJUSTMENT,269
323,18,6,17,235,OUT,377
324,8,16,19,294,ADJUSTMENT,327
325,89,13,9,226,ADJUSTMENT,320
326,29,21,27,125,ADJUSTMENT,442
327,38,10,13,51,IN,190
328,100,12,17,214,ADJUSTMENT,334
329,25,8,17,73,IN,453
330,71,2,9,17,IN,43
331,51,14,12,123,ADJUSTMENT,134
332,19,15,8,163,IN,116
333,9,23,9,158,OUT,384
334,15,22,7,169,IN,368
335,71,10,15,220,ADJUSTMENT,161
336,12,20,2,358,OUT,257
337,77,16,3,279,IN,176
338,19,18,21,116,ADJUSTMENT,109
339,38,4,4,141,ADJUSTMENT,359
340,45,8,9,190,OUT,373
341,43,2,19,113,ADJUSTMENT,429
342,55,25,22,215,ADJUSTMENT,295
343,97,14,28,337,OUT,394
344,62,20,8,107,IN,79
345,60,24,14,62,OUT,190
346,84,23,5,249,OUT,398
347,2,13,23,266,OUT,261
348,40,6,6,119,IN,1
349,77,13,22,322,IN,166
350,97,25,30,248,IN,463
351,37,5,9,363,IN,197
352,74,1,28,234,IN,236
353,88,1,3,171,OUT,27
354,49,8,1,327,IN,380
355,42,10,22,44,OUT,495
356,43,24,13,254,OUT,378
357,90,9,4,189,IN,216
358,95,17,19,136,ADJUSTMENT,365
359,62,6,27,312,ADJUSTMENT,237
360,75,12,4,144,IN,462
361,58,10,27,353,IN,228
362,77,6,5,30,IN,125
363,42,15,20,104,IN,263
364,78,1,26,21,OUT,288
365,22,24,29,345,ADJUSTMENT,175
366,5,19,3,284,OUT,367
367,35,8,29,354,ADJUSTMENT,487
368,59,19,15,304,OUT,94
369,43,12,18,305,OUT,268
370,59,2,1,230,IN,118
371,42,12,28,235,OUT,49
372,74,2,20,328,OUT,491
373,43,14,23,32,IN,149
374,92,20,2,142,ADJUSTMENT,472
375,89,8,26,69,ADJUSTMENT,434
376,77,15,22,158,OUT,391
377,52,22,22,53,ADJUSTMENT,204
378,27,2,8,349,OUT,226
379,41,23,9,122,OUT,441
380,13,17,3,206,ADJUSTMENT,191
381,96,13,11,216,ADJUSTMENT,21
382,92,10,26,108,ADJUSTMENT,68
383,59,10,19,78,ADJUSTMENT,303
384,27,17,13,289,ADJUSTMENT,218
385,78,11,22,125,ADJUSTMENT,148
386,92,13,30,105,ADJUSTMENT,125
387,73,5,7,296,ADJUSTMENT,13
388,68,9,28,283,IN,119
389,1,6,23,156,ADJUSTMENT,114
390,33,9,13,316,IN,427
391,44,24,11,14,OUT,114
392,26,6,3,312,OUT,477
393,65,1,24,316,IN,413
394,5,13,27,295,IN,270
395,54,1,3,72,ADJUSTMENT,261
396,94,9,25,54,ADJUSTMENT,170
397,100,25,29,211,OUT,100
398,46,19,16,199,ADJUSTMENT,91
399,25,1,18,101,IN,187
400,58,3,28,112,ADJUSTMENT,266
401,100,6,23,346,OUT,165
402,30,8,13,175,ADJUSTMENT,105
403,30,3,2,315,ADJUSTMENT,364
404,42,25,12,7,IN,97
405,61,20,11,36,IN,284
406,95,8,18,55,OUT,219
407,66,21,21,350,OUT,397
408,32,15,20,299,OUT,320
409,10,19,25,344,OUT,167
410,63,11,2,10,OUT,409
411,10,20,7,125,OUT,251
412,18,13,18,151,IN,436
413,36,7,15,169,OUT,439
414,36,11,11,169,OUT,185
415,89,16,20,100,ADJUSTMENT,174
416,27,1,6,24,IN,373
417,5,24,14,113,ADJUSTMENT,79
418,90,21,10,175,ADJUSTMENT,462
419,37,11,9,133,IN,78
420,50,15,28,194,OUT,372
421,67,12,16,124,ADJUSTMENT,201
422,30,6,23,350,OUT,441
423,21,23,21,9,IN,247
424,42,25,29,357,ADJUSTMENT,42
425,66,15,24,228,ADJUSTMENT,66
426,16,20,25,341,IN,478
427,93,22,20,34,IN,273
428,6,16,19,308,ADJUSTMENT,41
429,28,21,1,344,ADJUSTMENT,253
430,76,5,6,97,ADJUSTMENT,136
431,63,10,8,129,IN,485
432,94,12,15,41,OUT,430
433,38,20,30,140,OUT,165
434,19,5,17,2,OUT,254
435,69,18,6,359,OUT,252
436,50,24,4,122,IN,304
437,92,18,8,170,IN,436
438,37,10,26,198,OUT,344
439,92,9,25,164,ADJUSTMENT,156
440,66,13,13,38,ADJUSTMENT,408
441,2,24,8,145,IN,251
442,60,19,3,187,OUT,204
443,1,23,30,217,IN,349
444,36,22,21,3,OUT,324
445,19,2,5,209,OUT,39
446,50,20,1,144,ADJUSTMENT,64
447,46,1,27,351,ADJUSTMENT,133
448,52,3,13,198,ADJUSTMENT,381
449,35,20,10,211,IN,298
450,6,15,3,210,ADJUSTMENT,237
451,28,25,20,253,ADJUSTMENT,329
452,97,1,1,34,IN,105
453,28,25,23,162,IN,153
454,76,23,29,358,IN,455
455,3,6,18,121,ADJUSTMENT,352
456,50,19,16,35,OUT,244
457,37,19,14,106,ADJUSTMENT,173
458,13,13,3,68,OUT,419
459,33,17,8,233,IN,22
460,53,12,30,153,ADJUSTMENT,133
461,60,10,30,86,ADJUSTMENT,475
462,51,5,6,236,OUT,60
463,16,18,1,13,ADJUSTMENT,450
464,15,18,1,139,ADJUSTMENT,103
465,72,5,26,283,ADJUSTMENT,378
466,12,1,2,306,IN,357
467,20,3,26,81,OUT,276
468,67,5,28,341,ADJUSTMENT,477
469,73,23,6,268,OUT,347
470,10,4,8,351,IN,368
471,71,4,1,99,IN,399
472,10,15,12,145,OUT,85
473,86,16,5,27,ADJUSTMENT,258
474,3,24,4,309,ADJUSTMENT,377
475,19,21,5,327,IN,40
476,62,21,28,303,IN,236
477,88,14,30,262,IN,499
478,23,11,28,97,IN,297
479,88,9,2,241,ADJUSTMENT,2
480,7,24,1,100,IN,338
481,2,15,3,118,OUT,302
482,4,3,24,193,OUT,133
483,71,2,10,146,OUT,86
484,100,9,15,69,ADJUSTMENT,468
485,55,5,6,252,OUT,173
486,80,13,19,285,OUT,279
487,26,5,28,78,ADJUSTMENT,191
488,55,7,15,250,IN,364
489,99,23,22,150,IN,103
490,66,17,6,81,IN,108
491,24,23,26,32,IN,330
492,44,7,17,360,IN,496
493,44,7,23,304,ADJUSTMENT,241
494,69,19,24,276,OUT,296
495,81,12,30,265,IN,45
496,34,17,11,233,OUT,200
497,32,4,19,244,OUT,406
498,86,13,20,119,OUT,151
499,55,7,23,119,ADJUSTMENT,396
500,58,16,15,114,IN,250
501,15,9,10,257,ADJUSTMENT,171
502,19,8,16,262,OUT,18
503,14,19,23,99,IN,205
504,66,18,22,7,IN,143
505,45,25,30,303,ADJUSTMENT,387
506,81,14,20,73,ADJUSTMENT,7
507,82,7,19,246,OUT,105
508,99,22,27,58,OUT,498
509,7,2,18,310,OUT,79
510,48,12,20,251,OUT,381
511,14,5,24,354,IN,280
512,26,12,1,321,ADJUSTMENT,486
513,76,7,29,167,ADJUSTMENT,15
514,39,19,2,314,IN,407
515,17,10,30,139,IN,423
516,14,15,2,128,ADJUSTMENT,432
517,4,1,5,188,OUT,220
518,77,4,2,265,ADJUSTMENT,463
519,94,19,9,138,ADJUSTMENT,431
520,17,11,17,113,ADJUSTMENT,285
521,43,23,25,189,IN,310
522,33,22,7,301,IN,394
523,19,21,14,89,IN,445
524,71,7,26,175,IN,306
525,69,23,25,33,IN,137
526,55,22,7,233,ADJUSTMENT,225
527,75,6,9,22,OUT,216
528,88,19,21,57,IN,40
529,76,24,21,77,IN,151
530,5,14,14,328,IN,86
531,49,10,27,276,ADJUSTMENT,10
532,40,24,10,58,ADJUSTMENT,123
533,3,24,28,45,ADJUSTMENT,409
534,78,22,17,143,OUT,63
535,94,13,21,300,OUT,492
536,56,7,16,321,IN,446
537,31,12,23,254,IN,133
538,50,19,8,193,IN,323
539,37,23,1,197,OUT,365
540,88,19,2,161,IN,278
541,82,19,24,13,IN,420
542,37,20,19,170,ADJUSTMENT,187
543,25,2,15,320,OUT,57
544,80,12,17,347,ADJUSTMENT,311
545,25,10,25,218,ADJUSTMENT,224
546,61,23,27,342,ADJUSTMENT,18
547,63,21,25,259,ADJUSTMENT,411
548,45,24,24,308,ADJUSTMENT,491
549,59,20,18,335,ADJUSTMENT,232
550,10,14,20,39,ADJUSTMENT,42
551,38,22,4,219,IN,189
552,44,1,28,239,OUT,472
553,35,3,14,14,ADJUSTMENT,67
554,18,16,20,41,ADJUSTMENT,445
555,25,2,6,243,OUT,140
556,93,15,11,69,IN,418
557,35,4,28,172,IN,363
558,76,9,15,143,OUT,374
559,71,14,29,305,OUT,20
560,52,9,30,102,OUT,299
561,24,1,5,324,OUT,212
562,37,9,4,16,IN,422
563,89,3,7,279,OUT,127
564,19,23,7,118,ADJUSTMENT,384
565,35,6,8,33,IN,124
566,46,14,3,293,OUT,381
567,96,8,3,283,OUT,385
568,53,23,28,107,IN,221
569,54,15,5,358,IN,448
570,51,11,4,251,ADJUSTMENT,263
571,75,20,26,298,OUT,35
572,84,17,18,286,OUT,57
573,57,17,11,197,ADJUSTMENT,391
574,56,7,4,331,OUT,306
575,7,10,4,157,ADJUSTMENT,268
576,79,12,12,84,IN,22
577,83,22,26,111,ADJUSTMENT,2
578,49,11,26,150,IN,160
579,26,22,18,131,ADJUSTMENT,284
580,84,25,9,310,IN,466
581,35,4,13,55,IN,479
582,88,2,20,116,ADJUSTMENT,186
583,28,18,15,219,ADJUSTMENT,63
584,53,15,11,167,ADJUSTMENT,178
585,82,11,27,147,ADJUSTMENT,168
586,29,25,9,127,IN,415
587,76,7,18,33,OUT,89
588,86,9,10,249,ADJUSTMENT,212
589,19,2,6,299,ADJUSTMENT,236
590,94,25,4,7,ADJUSTMENT,230
591,29,22,6,323,ADJUSTMENT,82
592,67,4,9,136,OUT,199
593,96,11,10,330,OUT,432
594,77,18,18,97,ADJUSTMENT,415
595,9,9,7,47,OUT,252
596,87,16,15,340,OUT,160
597,79,8,11,13,ADJUSTMENT,253
598,83,22,11,34,ADJUSTMENT,153
599,48,7,10,263,ADJUSTMENT,182
600,55,23,5,268,OUT,265
601,71,9,19,98,IN,445
602,44,11,13,316,ADJUSTMENT,367
603,48,18,15,125,ADJUSTMENT,457
604,25,2,9,281,OUT,349
605,80,10,8,131,ADJUSTMENT,349
606,38,15,19,194,ADJUSTMENT,435
607,53,2,11,39,ADJUSTMENT,365
608,21,4,2,98,OUT,414
609,78,13,14,83,OUT,495
610,84,19,12,157,IN,177
611,54,11,30,233,ADJUSTMENT,217
612,52,15,17,76,IN,274
613,9,17,10,76,ADJUSTMENT,64
614,90,14,12,92,OUT,252
615,1,9,28,88,IN,491
616,85,10,7,203,IN,294
617,70,1,11,113,IN,143
618,30,17,18,226,IN,94
619,74,2,5,172,OUT,446
620,92,6,4,186,ADJUSTMENT,131
621,19,10,13,4,IN,172
622,41,22,14,94,ADJUSTMENT,383
623,64,17,6,114,IN,279
624,59,11,17,144,ADJUSTMENT,67
625,86,19,4,110,OUT,166
626,23,9,10,10,OUT,347
627,82,4,21,340,IN,308
628,48,14,24,304,OUT,335
629,28,21,21,6,OUT,231
630,32,19,5,147,ADJUSTMENT,114
631,22,25,11,94,ADJUSTMENT,236
632,17,6,16,107,IN,316
633,55,5,22,210,IN,340
634,55,9,15,63,ADJUSTMENT,243
635,96,4,19,54,IN,157
636,80,20,10,213,ADJUSTMENT,38
637,43,13,9,247,OUT,385
638,40,19,20,341,OUT,373
639,24,22,11,72,IN,237
640,68,24,24,126,OUT,219
641,29,10,4,333,OUT,70
642,58,25,30,139,ADJUSTMENT,491
643,99,8,1,82,ADJUSTMENT,476
644,26,25,16,42,OUT,236
645,96,14,18,209,IN,411
646,54,17,24,183,IN,130
647,14,15,2,170,ADJUSTMENT,351
648,22,12,6,169,OUT,355
649,57,23,1,237,OUT,7
650,4,21,26,221,OUT,37
651,63,21,24,139,ADJUSTMENT,444
652,52,14,26,267,ADJUSTMENT,19
653,47,10,28,271,ADJUSTMENT,366
654,50,3,19,7,IN,45
655,86,3,3,68,IN,111
656,53,2,4,222,IN,395
657,55,15,1,247,OUT,400
658,41,18,4,102,OUT,8
659,56,5,6,282,ADJUSTMENT,472
660,23,9,24,102,OUT,285
661,36,5,7,34,OUT,376
662,64,16,9,38,IN,343
663,22,24,6,203,ADJUSTMENT,335
664,97,19,23,232,IN,132
665,57,11,8,287,OUT,488
666,89,16,11,328,IN,196
667,5,21,23,165,ADJUSTMENT,347
668,54,2,5,316,OUT,58
669,40,5,12,296,ADJUSTMENT,399
670,39,24,20,64,OUT,224
671,29,23,15,133,OUT,47
672,83,12,1,74,OUT,109
673,54,21,21,184,ADJUSTMENT,130
674,44,4,2,72,IN,395
675,44,15,23,281,ADJUSTMENT,480
676,19,22,26,17,OUT,390
677,72,13,18,341,ADJUSTMENT,344
678,55,23,6,157,ADJUSTMENT,323
679,31,17,27,339,ADJUSTMENT,110
680,98,3,7,276,OUT,331
681,68,18,23,18,ADJUSTMENT,75
682,86,15,23,193,ADJUSTMENT,184
683,61,17,24,273,IN,405
684,95,23,6,254,IN,486
685,42,11,12,13,ADJUSTMENT,434
686,4,18,18,164,ADJUSTMENT,211
687,51,19,20,40,OUT,386
688,30,17,26,36,OUT,422
689,82,22,22,168,IN,150
690,26,7,18,20,IN,311
691,49,16,12,117,OUT,214
692,32,2,26,355,IN,182
693,95,20,8,364,OUT,13
694,40,13,17,131,OUT,41
695,84,21,23,283,ADJUSTMENT,56
696,73,15,17,15,ADJUSTMENT,42
697,30,10,4,341,IN,117
698,81,4,17,224,ADJUSTMENT,329
699,5,11,24,175,ADJUSTMENT,234
700,94,9,13,262,OUT,186
701,2,5,28,317,IN,246
702,34,4,3,18,ADJUSTMENT,145
703,31,25,10,129,IN,234
704,30,13,18,88,OUT,3
705,26,12,12,245,ADJUSTMENT,130
706,54,12,14,215,OUT,82
707,9,24,26,213,ADJUSTMENT,149
708,14,10,28,216,IN,448
709,85,12,1,77,OUT,18
710,31,25,10,40,OUT,341
711,8,5,17,348,IN,325
712,56,25,26,290,OUT,320
713,63,15,13,64,IN,312
714,28,3,27,35,OUT,372
715,85,20,23,309,OUT,476
716,97,24,30,146,OUT,7
717,23,15,4,351,IN,216
718,79,20,8,143,ADJUSTMENT,82
719,94,16,28,85,OUT,262
720,23,20,8,33,IN,404
721,39,10,4,89,IN,339
722,53,17,25,6,OUT,73
723,22,20,15,15,IN,43
724,84,18,2,271,IN,261
725,34,17,16,132,IN,439
726,87,22,26,262,OUT,188
727,6,6,1,155,ADJUSTMENT,177
728,59,20,28,248,IN,367
729,4,4,8,114,OUT,190
730,74,6,18,326,ADJUSTMENT,225
731,100,3,18,274,IN,330
732,12,4,27,89,IN,248
733,88,16,18,176,OUT,76
734,5,19,15,129,OUT,138
735,70,17,21,333,ADJUSTMENT,99
736,99,19,21,66,ADJUSTMENT,106
737,25,17,27,96,OUT,489
738,5,18,15,225,OUT,125
739,59,25,4,261,IN,287
740,72,4,6,123,IN,350
741,16,24,28,355,ADJUSTMENT,204
742,39,16,9,41,ADJUSTMENT,276
743,60,17,14,239,IN,371
744,31,23,5,62,IN,459
745,52,9,6,148,ADJUSTMENT,360
746,80,10,15,77,IN,164
747,67,5,28,74,OUT,329
748,83,1,1,108,OUT,334
749,42,25,5,17,ADJUSTMENT,384
750,62,8,6,260,ADJUSTMENT,390
751,77,19,16,112,IN,74
752,77,10,1,85,IN,132
753,6,1,7,186,OUT,340
754,23,16,4,129,IN,323
755,41,1,22,355,ADJUSTMENT,374
756,61,16,16,315,ADJUSTMENT,226
757,6,14,30,134,IN,180
758,50,6,13,37,OUT,144
759,68,13,27,84,OUT,436
760,57,19,30,183,IN,227
761,57,1,21,178,IN,327
762,35,5,14,192,ADJUSTMENT,390
763,63,10,28,70,ADJUSTMENT,171
764,35,3,12,249,ADJUSTMENT,255
765,17,1,4,274,OUT,31
766,38,25,11,158,IN,304
767,42,6,21,30,ADJUSTMENT,247
768,42,19,19,145,OUT,39
769,25,13,9,358,ADJUSTMENT,411
770,59,18,17,123,IN,385
771,29,21,9,262,OUT,489
772,6,4,15,146,IN,118
773,14,1,5,14,IN,396
774,91,20,7,260,OUT,306
775,44,11,10,265,OUT,173
776,48,22,23,364,ADJUSTMENT,351
777,35,22,4,35,OUT,417
778,70,1,13,252,OUT,196
779,56,25,10,322,ADJUSTMENT,425
780,8,19,2,170,IN,403
781,30,21,1,236,OUT,41
782,28,8,14,156,IN,492
783,27,10,13,348,IN,282
