LocationID,Name,Address,City,State,Region,PostalCode,Zone,Latitude,Longitude,Province,Country
29,Lake Jacqueline,"3757 Castro Underpass Suite 419, Huangfurt, MI 19699",Port Amandaborough,Kansas,Western Canada,C9P 1X0,Rural,83.149245,4.188571,SK,Canada
30,Lake Ellenhaven,"157 Burgess Forest Apt. 848, Derrickshire, IA 07154",Wilsonfort,Washington,Central Canada,H3X 0R1,Suburban,83.6089155,167.876202,NL,Canada
31,Andrewport,"301 Rivera Mountains, Lake Kellitown, GA 53835",East Dustin,South Dakota,Central Canada,T4M 5C8,Suburban,17.271570,-121.286360,NT,Canada
32,East Matthew,"3454 Rebecca Corners Apt. 802, Khanburgh, AZ 52535",West Tiffany,New York,Atlantic Canada,T0P 3M9,Suburban,-0.9876885,-91.763069,QC,Canada
33,Leeberg,"400 Bradley Coves, Justinside, NM 18090",Hendersonfort,Rhode Island,Western Canada,M9K 7P9,Suburban,25.5495305,-49.050234,NS,Canada
34,North Kenneth,"3152 Wong Stravenue Apt. 054, East Cheryl, MO 56560",Port Amandaborough,South Carolina,Atlantic Canada,V3Y 3G0,Suburban,-61.560725,97.022118,AB,Canada
35,New Kellihaven,"1227 Boyle Avenue, Patrickmouth, KY 43705",Port Kathleenport,Illinois,Atlantic Canada,S0K 8P0,Rural,-87.168603,-86.341136,NU,Canada
36,Lake Matthewberg,"5301 Parker Lodge, Hannahport, RI 29448",Harveystad,New Jersey,Western Canada,N0R 4E3,Rural,-63.530504,116.304583,MB,Canada
37,Mooreburgh,"2795 Miles Mountains, Port John, PA 11231",West Michelleberg,Connecticut,Central Canada,X3S 7B2,Urban,-20.5454465,-94.027796,NU,Canada
38,Lake Samuel,"91088 Ashley Drive Apt. 587, Lake Jamieshire, CO 67396",Jacksonshire,Florida,Western Canada,L1B 3X6,Suburban,-30.4070385,-2.301281,MB,Canada
39,Diazbury,"2867 Angelica Spring, Jenniferfurt, AL 98255",Port Amandaborough,Maryland,Western Canada,P7C 9E8,Suburban,47.083608,120.566618,ON,Canada
40,Bishopmouth,"65180 Valerie Mountains, West Robertberg, SD 96090",Keithview,Alabama,Atlantic Canada,G6C 9B6,Rural,49.2637155,48.905318,YT,Canada
41,New John,"6766 Felicia Shore Apt. 512, Ricebury, AL 99614",West Daryl,Montana,Western Canada,G3M 4N6,Rural,59.7852165,68.063436,PE,Canada
42,Mckeeborough,"8686 John Key Apt. 431, Port Donnatown, IL 09320",West Michelleberg,Michigan,Atlantic Canada,N5T 4K1,Urban,65.831693,-55.523503,PE,Canada
43,Erikashire,"9030 Gonzales Plains, Port Michelle, DC 66547",West Nancy,South Carolina,Northern Canada,J2E 2E2,Suburban,64.4135775,37.458184,SK,Canada
44,Murrayport,"Unit 3959 Box 9534, DPO AE 87036",Harveystad,Missouri,Northern Canada,T7N 6E8,Suburban,-30.6672445,158.099996,NL,Canada
45,Shawchester,"4089 Connie Meadow Suite 056, Heatherchester, ME 49844",Port Jamie,Michigan,Central Canada,P3T 4T4,Urban,29.6627695,-80.973208,MB,Canada
46,Port James,"34270 Faulkner Point Apt. 634, West Deborah, MN 12620",Grimesville,New Hampshire,Western Canada,E1H 4B3,Suburban,10.426957,-79.934283,ON,Canada
47,Port John,"46990 Jacob Trace, South Jason, MA 40240",Port Emily,Michigan,Western Canada,N2C 3P6,Suburban,14.994278,163.854476,NS,Canada
48,Sawyerside,"USS Lewis, FPO AE 97687",Candicefurt,Nevada,Central Canada,X0M 4H0,Suburban,34.3025835,172.889496,BC,Canada
49,Lake Meghanville,"93638 Rowe Light Suite 854, Michaelfort, CT 95189",Lake Dennisville,Tennessee,Atlantic Canada,R7Y 8K1,Rural,67.9984135,52.000418,SK,Canada
50,Christopherburgh,"55609 Joyce Brook Suite 899, Phillipsborough, IN 50287",Lake Dennisville,Rhode Island,Western Canada,T1G 1A0,Rural,44.342761,32.376674,BC,Canada
