SalesID,DateID,ProductID,StoreID,CustomerID,PromotionID,SupplierID,InventoryID,LocationID,SalesAmount,ProfitMargin,Discounts,Costs,UnitsSold,Returns,InventoryTurnover,ForecastedSales,PredictedRevenue
51,214,41,36,308,7,18,14,5,90.0,0.07,30.83,391.03,17,0,3.21,984.83,660.78
52,179,45,27,48,1,3,79,38,423.69,0.11,47.92,275.88,7,1,5.01,830.66,1287.62
53,88,9,2,317,2,21,12,31,429.84,0.24,24.97,265.44,5,2,13.66,22.81,632.62
54,41,62,39,17,3,25,35,2,248.01,0.07,23.43,249.0,1,1,14.85,245.76,485.88
55,76,86,46,296,4,19,25,27,57.54,0.26,26.38,222.63,18,1,11.78,442.57,135.47
56,46,47,19,331,5,26,78,46,289.83,0.05,1.66,379.71,11,1,3.98,447.53,448.01
57,160,5,7,345,4,22,2,43,411.36,0.27,15.01,217.96,4,0,13.72,953.77,1476.34
58,80,76,12,69,10,4,18,19,148.29,0.07,34.95,265.65,5,0,3.35,307.93,1395.41
59,310,1,3,85,3,4,35,43,419.68,0.28,48.34,295.8,9,1,13.25,970.38,1267.13
60,86,44,47,282,1,16,9,25,340.07,0.27,28.44,211.56,5,1,6.36,42.65,1143.59
61,92,22,5,208,7,11,11,38,493.69,0.18,9.52,355.2,17,0,1.67,905.07,418.68
62,148,38,8,440,10,29,90,13,413.23,0.24,21.34,10.1,9,1,9.57,641.12,403.13
63,161,19,14,40,6,26,67,29,104.74,0.07,24.5,158.71,17,1,6.17,415.48,756.17
64,202,80,36,469,2,26,69,19,227.26,0.08,7.61,247.04,9,0,1.27,990.34,854.14
65,242,31,7,496,2,13,96,35,56.24,0.14,16.46,8.57,17,1,3.11,997.92,617.14
66,353,67,7,96,3,21,74,25,39.49,0.18,22.25,374.82,18,0,7.38,425.71,848.76
67,2,87,50,452,8,11,38,48,354.5,0.27,13.1,330.73,12,2,10.13,201.43,729.01
68,225,42,46,486,8,7,70,9,456.9,0.19,17.69,88.4,7,2,1.46,462.16,933.16
69,289,82,32,250,10,27,75,35,486.92,0.22,13.81,133.38,15,0,8.29,834.51,799.69
70,233,26,8,373,10,14,81,15,138.88,0.22,30.64,271.18,12,1,1.66,707.15,341.69
71,77,13,12,136,10,4,59,22,104.88,0.27,28.93,137.07,19,2,13.63,68.4,801.33
72,116,58,10,73,10,8,66,13,282.31,0.24,27.58,342.85,8,1,10.9,230.57,802.31
73,154,18,14,301,8,12,41,49,104.43,0.29,4.84,100.14,13,1,2.18,471.29,112.72
74,103,67,9,273,7,13,24,30,151.47,0.06,9.18,327.5,4,1,8.11,958.87,406.77
75,194,87,38,169,2,25,50,21,419.43,0.1,5.54,186.38,5,0,11.29,620.63,907.32
76,166,3,30,333,1,9,5,25,406.18,0.28,3.16,181.9,15,2,5.03,60.15,641.31
77,359,55,5,393,6,9,21,25,448.06,0.25,12.34,68.21,7,2,3.63,389.73,1207.44
78,90,89,1,198,8,2,6,40,243.71,0.12,9.73,393.37,16,1,10.46,907.7,111.88
79,174,91,1,347,1,3,4,22,284.22,0.29,36.25,138.59,17,1,11.9,510.87,208.17
80,122,58,20,106,3,21,9,46,386.44,0.27,34.79,82.64,10,0,6.61,106.09,1473.88
81,143,63,49,101,1,12,69,41,123.44,0.07,10.07,13.94,11,2,4.36,602.49,950.46
82,106,91,11,359,10,17,68,3,412.43,0.25,8.28,197.91,14,2,14.19,680.71,916.72
83,305,52,26,235,9,4,9,9,13.69,0.25,7.24,13.87,13,0,8.51,755.2,1155.08
84,360,89,44,280,7,27,18,24,399.84,0.11,16.0,182.69,18,1,7.86,342.36,497.9
85,317,24,3,329,8,30,59,44,389.07,0.22,14.71,361.16,17,2,11.23,703.97,992.59
86,123,72,6,377,9,14,43,47,154.38,0.29,1.43,199.69,9,1,13.55,326.97,692.91
87,9,9,43,106,3,21,80,32,365.32,0.22,28.39,18.28,16,1,5.28,525.13,555.27
88,262,37,45,395,10,9,66,17,110.93,0.25,44.9,106.48,9,2,12.38,29.31,272.38
89,73,94,11,35,2,8,29,41,290.24,0.07,26.94,20.45,11,2,14.07,677.37,143.99
90,359,83,8,157,6,1,48,24,351.79,0.23,3.19,352.93,14,2,14.46,384.57,43.15
91,223,53,29,392,5,30,51,8,358.78,0.1,29.98,96.8,14,2,10.63,707.97,466.99
92,41,80,10,273,4,13,42,6,491.55,0.07,24.25,26.96,11,2,11.79,964.72,45.28
93,204,24,34,455,6,28,36,9,95.09,0.19,45.35,385.85,15,1,12.8,90.27,425.54
94,264,21,24,396,6,3,76,15,243.0,0.24,18.16,195.37,12,2,12.09,860.81,945.36
95,328,100,46,240,3,30,45,24,440.65,0.19,37.6,162.85,14,0,3.62,240.27,247.69
96,178,40,48,207,2,14,98,50,282.95,0.28,1.92,370.9,3,0,1.03,249.73,687.96
97,348,62,17,245,9,19,35,11,438.81,0.22,36.07,212.8,12,0,9.03,233.77,237.95
98,318,70,32,93,8,27,6,31,219.86,0.08,2.08,113.3,14,2,9.75,146.15,555.79
99,84,69,11,109,4,6,37,46,398.7,0.28,17.24,317.0,9,0,4.16,204.16,1303.31
100,318,14,34,306,6,4,36,45,435.67,0.09,47.4,109.44,17,1,3.62,744.97,1038.7
101,111,42,24,114,3,20,84,45,423.99,0.24,35.16,177.69,17,2,8.45,770.77,1113.41
102,251,50,5,24,8,1,16,13,436.33,0.09,46.25,321.47,16,1,13.5,961.64,724.56
103,7,61,29,293,3,28,72,30,113.68,0.3,24.79,372.64,2,0,3.63,112.73,1369.81
104,84,4,48,462,2,10,22,25,222.3,0.13,30.31,242.75,4,0,13.25,159.07,238.83
105,208,72,48,252,7,13,69,48,91.41,0.17,25.89,202.42,8,0,13.08,886.29,197.25
106,314,88,34,267,3,12,69,12,94.37,0.17,23.94,31.39,9,2,4.5,568.94,490.28
107,22,75,16,355,9,11,63,21,246.47,0.08,28.91,247.19,16,1,12.17,549.72,165.98
108,3,17,25,209,3,4,75,24,480.24,0.17,1.94,131.31,11,2,14.42,774.21,466.38
109,127,85,37,443,8,17,19,26,298.0,0.09,9.28,206.28,10,2,3.21,557.44,858.96
110,297,57,8,55,2,15,81,50,427.65,0.25,10.73,298.1,2,1,8.64,71.55,618.6
111,188,90,29,27,9,21,18,12,468.91,0.29,19.14,256.44,1,2,12.29,900.18,666.77
112,362,48,46,492,1,29,73,37,47.85,0.25,21.73,39.68,19,0,5.65,142.58,259.25
113,14,44,25,323,3,3,17,49,85.22,0.16,36.99,159.5,7,0,2.07,485.34,678.94
114,12,45,42,444,2,29,41,21,148.97,0.05,8.28,80.6,8,0,2.72,370.89,1383.14
115,87,91,23,2,7,10,33,23,310.3,0.06,28.49,61.3,2,2,5.67,376.18,113.2
116,12,80,34,68,5,21,84,1,35.56,0.17,13.61,88.92,3,2,1.6,291.38,1029.4
117,25,90,3,402,8,14,55,45,394.39,0.22,25.78,368.35,16,0,1.64,957.62,958.69
118,301,33,30,148,2,19,82,10,36.58,0.25,31.33,285.29,7,2,14.65,93.27,1211.88
119,243,31,50,469,8,21,24,35,83.42,0.2,29.12,363.33,13,0,2.72,804.46,912.35
120,122,47,34,319,7,4,77,38,193.95,0.29,10.77,203.08,3,0,3.29,398.6,608.05
121,147,6,32,462,5,25,40,48,281.07,0.17,35.47,1.45,7,2,9.27,62.11,1191.84
122,55,72,29,328,2,14,28,28,441.34,0.2,32.69,14.74,12,1,12.41,577.3,551.75
123,238,71,9,130,10,6,67,1,482.05,0.11,46.6,58.73,5,1,3.24,378.48,393.96
124,356,34,2,474,7,12,100,8,442.9,0.13,31.71,312.51,2,0,1.6,228.39,820.85
125,173,53,39,83,10,30,75,41,57.99,0.22,36.02,81.46,16,0,4.08,376.71,1419.86
126,221,14,7,42,4,26,39,23,317.46,0.2,40.55,41.54,4,2,8.06,977.35,833.01
127,119,16,46,156,4,2,21,20,223.65,0.14,5.3,344.54,10,2,14.88,768.26,1492.29
128,309,43,5,157,8,17,37,32,67.27,0.08,34.82,92.19,6,2,9.65,821.76,1211.82
129,183,73,8,453,6,1,2,23,279.78,0.14,15.93,201.46,19,0,4.1,530.26,1294.23
130,288,74,32,107,9,17,6,7,181.55,0.06,41.16,136.45,14,0,1.15,302.52,1081.17
131,307,81,18,284,2,25,52,11,176.16,0.2,24.01,358.72,14,2,3.32,552.72,547.05
132,300,12,38,188,5,5,5,8,51.75,0.13,29.03,282.2,15,1,10.19,550.11,736.37
133,82,70,46,105,6,16,47,43,489.53,0.14,13.02,182.11,11,1,5.46,156.84,1073.61
134,211,19,18,112,8,14,43,14,364.35,0.19,32.53,345.36,6,1,8.77,665.36,460.27
135,150,41,49,474,4,20,96,14,143.77,0.2,1.78,290.97,12,0,9.2,783.46,1284.62
136,37,53,41,133,7,10,40,36,459.15,0.2,37.43,323.74,14,2,3.23,553.43,742.68
137,352,29,45,271,7,21,11,41,474.3,0.17,8.16,391.05,6,1,6.72,402.88,1024.33
138,312,70,16,110,4,25,81,40,406.14,0.17,11.38,82.06,19,2,8.75,642.46,754.0
139,361,59,21,73,1,3,14,47,331.36,0.26,0.05,81.79,14,1,13.14,541.92,1449.19
140,59,89,10,416,3,3,2,27,191.31,0.17,15.66,223.04,17,2,12.19,92.26,668.05
141,131,64,42,436,2,28,39,20,220.0,0.18,19.41,213.51,14,1,10.43,380.72,643.92
142,202,24,4,346,3,18,63,38,230.23,0.3,11.7,347.78,1,0,11.88,927.07,955.73
143,243,89,44,293,5,24,63,25,474.64,0.1,11.51,63.21,10,0,14.42,70.9,196.36
144,35,16,8,143,1,23,18,48,381.27,0.23,44.65,170.59,17,0,11.68,290.98,1074.41
145,93,52,47,425,5,18,97,48,149.55,0.17,16.32,211.64,9,1,3.86,858.0,90.96
146,207,80,19,260,2,4,94,29,314.2,0.26,36.11,186.19,10,0,5.71,11.32,1392.44
147,353,6,47,245,4,7,79,14,298.98,0.15,11.87,27.77,18,2,6.15,941.75,810.26
148,332,37,40,437,6,1,93,28,407.0,0.13,40.45,59.99,11,0,7.13,691.29,453.86
149,305,85,40,484,9,16,90,30,52.18,0.1,33.89,62.27,17,0,9.87,385.32,402.31
150,350,4,9,340,10,17,1,15,352.13,0.27,37.81,238.82,12,0,6.88,38.21,1101.94
151,213,98,30,155,6,8,17,21,168.93,0.23,21.98,172.12,5,2,7.51,55.18,146.17
152,159,92,17,149,10,6,54,12,69.17,0.07,43.98,72.09,5,0,9.3,302.62,1392.21
153,24,38,40,60,2,2,39,50,367.23,0.23,18.7,294.92,10,2,12.35,662.54,769.29
154,293,41,44,86,8,26,48,11,169.16,0.06,30.04,321.38,2,1,7.28,76.59,1031.52
155,4,92,15,192,5,10,66,39,366.41,0.1,32.0,84.84,1,1,9.83,882.83,130.81
156,220,81,4,327,9,17,15,6,85.41,0.2,47.61,289.38,18,2,7.51,859.07,381.91
157,364,14,6,431,10,19,22,3,493.03,0.17,6.73,26.38,16,0,14.97,292.31,27.45
158,20,71,16,182,9,28,20,41,402.69,0.26,6.78,342.52,16,1,14.21,202.52,294.96
159,152,86,26,287,4,4,93,15,148.13,0.2,23.1,385.13,5,2,8.57,435.13,839.29
160,50,51,37,273,1,13,89,34,371.56,0.29,45.89,63.19,19,2,12.42,289.51,758.32
161,177,65,23,255,9,21,43,4,72.22,0.26,1.08,314.68,8,1,13.09,950.9,1174.69
162,96,93,13,434,9,27,56,34,328.45,0.14,13.81,39.82,1,1,1.39,586.88,970.26
163,105,52,47,7,8,26,24,38,34.52,0.26,14.18,384.54,11,2,13.88,738.72,1086.11
164,250,95,17,126,5,19,98,44,170.03,0.27,15.25,181.38,19,2,13.05,535.31,383.68
165,117,30,27,83,5,16,43,39,489.34,0.29,1.24,214.58,8,0,12.46,838.25,776.29
166,354,57,22,28,10,13,21,41,64.86,0.05,41.28,305.79,19,0,8.95,106.79,1377.32
167,228,79,37,266,6,30,48,6,300.72,0.27,0.45,100.26,5,1,4.19,725.47,745.27
168,66,82,19,283,1,5,66,22,39.95,0.07,23.89,160.15,18,1,8.02,769.9,344.42
169,335,99,39,397,9,12,16,37,336.35,0.18,2.82,28.93,2,1,12.19,366.68,891.58
170,262,30,35,450,5,7,40,32,142.94,0.15,39.93,246.23,19,0,7.32,94.55,240.65
171,295,98,13,470,7,27,21,28,158.44,0.28,37.33,319.93,10,2,14.82,656.77,1011.99
172,243,42,14,251,8,9,52,26,172.21,0.15,36.08,340.88,18,2,4.17,311.06,693.41
173,186,11,48,468,5,5,8,4,106.55,0.2,36.81,215.0,16,1,13.75,587.81,499.71
174,246,27,31,188,3,4,78,10,471.12,0.22,47.01,306.56,5,2,5.52,882.21,373.79
175,125,24,45,383,6,10,55,27,453.39,0.05,20.84,60.81,13,0,12.74,833.65,952.93
176,268,99,2,299,7,16,86,20,435.66,0.2,43.08,297.62,2,2,7.08,580.13,617.36
177,131,39,46,69,4,11,82,36,57.69,0.18,9.21,2.81,11,0,12.66,117.5,1260.96
178,237,72,39,319,9,29,58,5,120.56,0.2,22.56,78.74,12,0,9.25,453.03,106.43
179,18,18,37,326,4,9,5,17,308.05,0.07,0.45,254.22,8,0,13.7,728.57,575.8
180,40,77,14,99,10,24,42,50,485.33,0.06,14.21,128.9,12,0,7.7,571.33,164.31
181,21,45,9,193,2,5,30,32,304.38,0.09,22.91,164.83,15,0,14.06,336.0,1272.6
182,225,88,10,227,9,25,95,35,166.92,0.27,45.46,330.6,15,0,2.78,315.32,507.3
183,355,87,7,451,4,11,9,23,409.62,0.14,15.85,228.87,17,1,12.33,681.67,885.79
184,282,12,28,182,4,30,95,13,72.04,0.16,33.62,160.19,10,0,4.09,635.37,925.84
185,8,49,46,420,10,9,95,1,441.46,0.15,41.7,186.84,7,2,4.22,596.33,1234.28
186,100,94,25,327,1,17,41,31,487.47,0.23,16.33,339.52,10,2,1.92,952.49,1460.85
187,240,31,46,93,2,28,51,19,483.99,0.11,8.46,194.75,18,1,11.25,895.89,441.2
188,87,92,28,143,3,22,57,23,78.11,0.07,29.56,350.26,14,1,10.01,320.88,701.18
189,298,22,2,203,7,11,73,34,277.06,0.14,14.22,99.59,16,0,5.69,256.49,824.98
190,14,44,17,402,9,21,61,4,294.53,0.23,32.62,213.97,13,2,14.66,923.51,357.91
191,334,92,4,492,5,6,6,48,101.48,0.28,6.74,148.24,11,0,1.81,216.22,267.71
192,2,64,13,132,4,26,26,48,275.65,0.06,7.58,236.93,3,0,11.78,977.39,32.77
193,293,77,18,472,2,16,74,49,325.04,0.25,33.8,230.63,17,0,4.69,223.29,97.67
194,325,25,3,267,7,19,6,44,167.84,0.07,48.68,228.95,5,1,1.94,117.2,1142.68
195,41,51,37,134,6,14,53,34,161.26,0.13,12.34,211.58,7,0,9.91,396.76,1085.49
196,318,7,33,378,7,3,61,30,34.82,0.06,35.7,182.32,6,0,5.61,901.98,59.29
197,316,6,41,179,8,10,33,10,478.63,0.28,26.6,364.24,6,1,7.31,734.04,720.5
198,111,24,24,186,9,21,45,6,402.79,0.23,42.19,107.91,6,2,7.62,602.61,224.75
199,14,19,8,444,10,23,94,12,380.93,0.14,19.44,174.15,7,2,1.57,704.55,334.62
200,231,83,35,18,5,4,40,12,15.78,0.14,48.59,85.27,6,1,8.44,524.96,1374.51
201,84,100,2,463,5,22,24,49,314.03,0.21,4.12,133.57,5,0,1.55,324.65,1005.27
202,130,9,33,323,4,21,92,18,94.41,0.07,49.23,100.34,7,0,3.56,502.03,527.45
203,231,36,12,401,3,2,45,36,332.55,0.09,42.31,268.22,15,2,11.03,385.99,1424.28
204,326,40,22,97,7,13,38,35,312.47,0.26,43.32,283.34,18,0,11.13,770.34,1401.69
205,145,93,13,34,5,11,29,25,426.7,0.1,42.12,111.42,5,0,1.04,175.07,619.72
206,345,24,10,414,7,12,79,49,131.44,0.23,43.09,393.46,11,0,12.88,455.36,415.64
207,28,48,17,403,2,1,8,41,18.59,0.11,40.76,114.41,14,1,1.12,115.6,1420.69
208,66,63,43,393,9,22,64,22,457.48,0.07,44.98,331.53,8,0,14.57,52.86,1271.39
209,163,69,5,424,9,21,87,30,454.77,0.28,23.04,117.75,8,0,8.85,240.14,630.05
210,229,53,9,300,9,9,73,44,230.65,0.28,46.96,165.86,2,1,6.15,169.43,555.91
211,261,54,13,351,5,12,51,29,43.65,0.2,19.25,266.22,16,2,9.5,784.04,972.94
212,164,42,23,187,10,7,75,7,251.49,0.17,36.43,223.51,17,1,3.08,168.8,1259.85
213,301,45,30,347,9,17,6,48,264.39,0.19,35.52,202.97,10,1,7.68,675.62,185.62
214,303,90,43,111,1,29,47,40,411.75,0.15,41.04,317.89,14,1,10.64,507.85,892.24
215,287,14,4,409,2,10,49,3,359.97,0.24,36.92,283.38,12,0,10.16,367.52,514.93
216,10,29,21,247,10,6,76,21,40.05,0.24,1.77,365.75,11,2,13.71,71.06,540.11
217,195,6,43,71,5,27,98,45,354.14,0.25,36.96,93.11,2,0,4.98,422.74,882.94
218,118,7,9,309,5,7,85,20,72.19,0.18,1.16,7.51,15,1,1.99,573.01,1417.85
219,270,37,7,432,6,19,32,9,49.29,0.25,26.66,399.94,15,0,6.22,126.53,928.18
220,80,53,16,327,8,14,54,41,202.31,0.09,41.95,114.08,3,2,2.86,910.54,764.69
221,93,18,23,212,1,25,36,36,43.29,0.06,41.48,18.14,18,2,13.51,119.69,1004.83
222,266,87,23,309,10,27,89,14,415.49,0.21,42.07,99.69,16,1,14.74,832.27,341.69
223,332,38,31,108,9,30,99,18,234.25,0.08,30.12,267.84,9,1,9.88,785.41,904.38
224,350,59,5,177,4,30,98,33,295.57,0.19,9.19,235.66,18,0,12.11,885.84,334.86
225,361,1,6,427,8,11,19,2,290.55,0.23,25.4,83.48,7,0,10.75,115.09,761.54
226,257,68,1,228,5,2,37,37,489.16,0.15,25.81,75.3,10,1,8.67,465.58,930.01
227,133,44,48,19,1,1,17,31,458.31,0.06,16.24,178.29,17,1,12.6,321.38,640.7
228,276,47,28,322,9,26,80,22,425.32,0.27,21.2,6.39,16,1,13.51,688.82,949.1
229,264,35,18,418,8,10,16,46,194.72,0.06,43.61,1.95,10,2,8.18,195.24,1323.49
230,171,87,24,248,5,12,58,9,76.82,0.28,25.9,247.12,17,1,12.36,99.07,87.11
231,1,91,13,209,4,9,44,20,297.97,0.06,35.24,130.79,12,2,6.46,226.62,1284.44
232,313,60,33,216,8,23,68,20,222.96,0.23,24.79,10.54,7,0,4.27,992.01,851.9
233,64,90,10,201,9,26,49,47,116.64,0.28,30.87,184.46,1,1,7.48,262.45,1076.49
234,284,52,7,438,7,29,94,1,53.36,0.28,4.63,374.29,12,1,4.46,293.74,1198.64
235,121,8,37,257,4,11,51,30,220.87,0.27,46.57,102.71,18,2,6.49,724.64,245.86
236,107,80,32,106,7,1,98,19,327.18,0.27,21.8,101.17,16,1,9.97,318.63,98.32
237,175,41,45,476,6,20,5,36,314.57,0.18,37.42,187.73,12,1,3.41,533.13,810.72
238,204,3,22,311,3,10,97,14,388.09,0.19,33.36,60.24,10,2,11.14,753.34,654.14
239,165,96,16,271,10,29,58,1,235.94,0.2,39.96,255.54,11,0,13.55,341.5,856.44
240,305,69,24,383,3,19,46,5,164.21,0.27,1.74,335.86,12,2,6.36,367.08,1212.11
241,120,84,14,469,1,27,55,10,271.66,0.26,46.77,78.62,4,2,14.64,231.06,622.65
242,44,14,11,271,5,23,73,9,487.63,0.25,41.49,263.83,4,0,10.65,752.41,1032.47
243,312,96,19,121,8,21,17,49,27.32,0.22,41.69,355.31,10,1,9.06,992.99,646.71
244,156,26,23,407,6,25,12,14,266.69,0.2,23.36,361.33,6,0,5.26,71.75,1129.92
245,207,70,34,245,8,11,24,39,167.99,0.28,39.82,221.6,5,1,1.23,412.95,1413.8
246,108,58,40,66,7,3,56,18,57.15,0.1,28.76,61.77,13,1,6.79,349.83,365.78
247,251,100,13,430,2,27,55,42,220.16,0.1,25.17,264.01,11,1,13.76,361.26,118.18
248,334,40,39,228,8,16,76,25,322.38,0.3,39.25,294.19,9,0,12.26,528.98,730.1
249,130,51,44,370,4,22,79,36,266.44,0.19,31.39,301.97,3,1,14.76,662.11,651.61
250,293,5,28,137,5,10,16,31,19.44,0.17,3.86,373.8,16,1,12.31,496.31,368.38
251,20,77,40,194,8,2,87,46,291.66,0.26,15.73,246.49,16,1,11.21,763.78,1025.64
252,282,32,16,194,5,19,82,35,119.84,0.26,31.1,186.98,17,2,2.22,72.64,112.23
253,285,80,50,146,5,4,22,27,174.03,0.09,45.19,201.52,7,0,14.72,802.73,932.26
254,1,1,28,145,6,16,44,22,159.54,0.09,46.65,129.3,8,2,5.09,883.88,140.04
255,119,77,4,489,7,6,95,11,429.96,0.25,41.95,23.85,11,1,4.41,601.49,1342.9
256,35,54,28,72,9,11,43,10,28.55,0.25,12.72,287.27,12,2,1.41,326.62,865.57
257,198,11,12,354,7,17,79,8,177.26,0.11,23.67,8.92,16,2,6.62,479.11,850.72
258,245,53,16,418,6,15,21,41,200.43,0.26,21.67,26.58,17,1,13.53,599.46,1167.5
259,59,8,49,453,10,22,8,28,311.32,0.17,21.93,134.32,1,1,11.77,798.33,1123.19
260,325,25,36,192,4,4,49,23,395.54,0.17,2.49,372.49,13,2,9.21,786.03,43.02
261,161,40,20,44,10,24,100,6,365.19,0.3,8.68,193.77,8,2,11.45,353.84,1340.13
262,179,32,26,157,2,25,6,14,377.55,0.18,7.66,86.86,2,1,1.74,438.71,873.37
263,206,88,26,446,9,8,81,24,100.23,0.08,30.86,358.92,16,2,3.63,767.62,1257.44
264,12,28,22,476,10,24,47,9,456.31,0.12,20.59,229.1,8,1,7.55,434.07,1099.77
265,276,78,9,16,5,29,36,46,210.0,0.13,16.22,148.56,7,0,10.37,638.86,66.63
266,181,3,5,78,5,29,92,40,10.5,0.29,22.2,286.57,1,0,8.97,987.05,199.16
267,242,100,17,52,3,18,23,38,335.71,0.12,16.21,177.01,2,2,3.15,842.18,287.25
268,216,91,49,2,3,14,31,25,303.98,0.16,37.87,292.26,18,0,12.5,225.83,538.11
269,251,84,34,232,1,26,75,38,67.35,0.24,8.35,88.13,17,0,2.9,417.72,646.03
270,299,79,2,61,5,2,62,30,480.13,0.12,2.81,60.92,16,1,4.51,549.79,1105.02
271,126,62,7,132,3,16,84,22,282.97,0.23,32.54,184.91,19,1,14.26,602.15,568.58
272,217,27,36,382,2,22,96,2,237.29,0.1,11.53,128.52,15,1,14.13,304.85,1248.11
273,306,45,13,52,9,15,81,25,202.07,0.11,32.17,242.46,14,2,3.32,920.51,737.2
274,285,92,20,297,10,21,57,24,108.88,0.3,2.93,315.73,2,0,4.21,910.8,534.14
